06198706000001PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000001000001000001
06198706000002AP                                                FEDERACION DE PARTIDOS DE ALIANZA POPULAR                                                                                                             000002000002000002
06198706000003CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000003000003000003
06198706000005PDP                                               PARTIDO DEMOCRATA POPULAR                                                                                                                             000005000005000005
06198706000006EAJ-PNV                                           PARTIDO NACIONALISTA VASCO                                                                                                                            000006000006000006
06198706000007EA                                                EUSKO ALKARTASUNA                                                                                                                                     000007000007000007
06198706000008EE                                                EUSKADIKO EZKERRA                                                                                                                                     000008000008000008
06198706000009HB                                                HERRI BATASUNA                                                                                                                                        000009000009000009
06198706000015AC-INC                                            ASAMBLEA CANARIA-IZQDA NACIONALISTA CANARIA                                                                                                           000015000015000015
06198706000016AM                                                ASAMBLEA MAJORERA                                                                                                                                     000016000016000016
06198706000028PSE-PSOE                                          PARTIDO SOCIALISTA DE EUSKADI                                                                                                                         000028000028000001
06198706000031PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000031000031000031
06198706000033UPR                                               UNIDAD POPULAR REPUBLICANA                                                                                                                            000033000033000033
06198706000037PTE-UC                                            P. TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA                                                                                                            000037000037000037
06198706000038PH                                                PLATAFORMA HUMANISTA                                                                                                                                  000038000038000038
06198706000048CNC                                               CONGRESO NACIONAL DE CANARIAS                                                                                                                         000048000048000048
06198706000050UNI                                               UNION DE NACIONALISTAS DE IZQUIERDA                                                                                                                   000050000050000050
06198706000052AWAÑAC                                            FRENTE POPULAR DE LAS ISLAS CANARIAS-AWAÑAC                                                                                                           000052000052000052
06198706000053AHI                                               AGRUPACION HERREÑA INDEPENDIENTE                                                                                                                      000053000053000053
06198706000054PDP-CC                                            PARTIDO DEMOCRATA POPULAR-CENTRISTAS CANARIOS                                                                                                         000054000054000005
06198706000055UCC                                               UNION CANARIA DEL CENTRO                                                                                                                              000055000055000055
06198706000056AITE                                              AGRUPACION INDEPENDIENTE DE TIERRAS ESPARSAS                                                                                                          000056000056000056
06198706000057TAGOROR                                           TAGOROR                                                                                                                                               000057000057000057
06198706000071CSI                                               COORDINADORA SOCIALISTA DE IZQUIERDAS                                                                                                                 000071000071000071
06198706000084ICU                                               IZQUIERDA CANARIA UNIDA                                                                                                                               000084000084000004
06198706000085AIGRANC                                           AGRUPACION INSULAR DE GRAN CANARIA                                                                                                                    000085000085000085
06198706000087IUPC                                              IZQUIERDA UNIFICADA DEL PUEBLO CANARIO                                                                                                                000087000087000087
06198706000089AIL                                               AGRUPACION INSULAR LANZAROTEÑA                                                                                                                        000089000089000089
06198706000090IF                                                INDEPENDIENTES DE FUERTEVENTURA                                                                                                                       000090000090000090
06198706000100PDP-PL                                            COALICION CENTRISTAS VASCOS                                                                                                                           000100000100000005
06198706000104UDC                                               UNION DEMOCRATICA CANARIA                                                                                                                             000104000104000104
06198706000126CDS-AGI                                           CENTRO DEMOC.Y SOCIAL Y AGRUP.GOMERA INDEP.                                                                                                           000126000126000126
06198706000131IU-EB                                             IZQUIERDA UNIDA-EZKER BATUA                                                                                                                           000131000131000004
06198706000132PSDV                                              PARTIDO SOCIAL DEMOCRATA VASCO                                                                                                                        000132000132000132
06198706000133ATI                                               AGRUPACION TINERFEÑA DE INDEPENDIENTES                                                                                                                000133000133000133
06198706000134API                                               AGRUPACION PALMERA DE INDEP.                                                                                                                          000134000134000134
06198706000138UPGO                                              UNION DEL PUEBLO GOMERO                                                                                                                               000138000138000138
06198706000174ALCI-I                                            ASOCIACION LIBRE DE CANARIOS INDEPENDIENTE                                                                                                            000174000174000174
