061995051384999000096007TJUAN ALFONSO TRILLO MARTORELL                                               000000000000000000N
061995051384999000096011TAMALIA LORENTE GARCIA                                                       000000000000000000N
061995051384999000096013TNIEVES ORTEGA BRUNO                                                         000000000000000000N
061995051384999000096015TMARINA MARTINEZ AMADOR                                                      000000000000000000N
061995051351999000096004TFRANCISCO JESUS RONDA MARTINEZ                                              000000000000000000N
061995051351999000096005TLUIS JAVIER BELTRAN MORALES                                                 000000000000000000N
061995051351999000096010TJUAN ROSALES ALVAREZ                                                        000000000000000000N
061995051351999000096013TALFONSO TREBIÑO SILVA                                                       000000000000000000N
061995051351999000096020TJ. ORLANDO CARDENES DENIZ                                                   000000000000000000N
061995051351999000096023TALEJANDRO VERGAZ GONZALEZ                                                   000000000000000000N
061995051351999000096024TFRANCISCO LADEIRO MARTIN                                                    000000000000000000N
061995051351999000096025TDOMINGO GARCIA RODRIGUEZ                                                    000000000000000000N
061995051351999000096029TMAURICIO JAVIER O'SHANAHAN ROCA               Don                           000000000000000000N
061995051387999000096008TLUIS ALFREDO ESPINOSA PADRON                                                000000000000000000N
061995051387999000096011TDOMINGO DELGADO ACOSTA                                                      000000000000000000N
061995051353999000096003TM. DEL PILAR JIMENEZ RODRIGUEZ DEL VALLE                                    000000000000000000N
061995051386999000002006TJUAN RAMON CASTILLA ARMAS                                                   000000000000000000N
061995051351999000002002TJUAN ANDRES MELIAN GARCIA                                                   000000000000000000S
061995051384999000002011TJUAN JOSE MENDEZ GONZALEZ                                                   000000000000000000N
061995051384999000002018TMARIA ANGELES CONTRERAS PALENZUELA                                          000000000000000000N
061995051384999000002020TLORENZO REVERON RODRIGUEZ                                                   000000000000000000N
061995051384999000002021TANA MARIA CASANOVA MACARIO                                                  000000000000000000N
061995051387999000002001TEULALIO ELVIRO REBOSO GUTIERREZ                                             000000000000000000S
061995051387999000002002TJUAN CIRO CASTAÑEDA PADRON                                                  000000000000000000S
061995051387999000002005TMIRELLA QUINTERO MACHIN                                                     000000000000000000N
061995051353999000002014TBLANCA MARIA PEÑA PADRON                                                    000000000000000000N
061995051385999000002002TVICENTE CAPOTE CABRERA                                                      000000000000000000S
061995051385999000002016TESTEBAN LAUDIS MARANTE DIAZ                                                 000000000000000000N
061995051385999000002017THONORIO CANDIDO CACERES RODRIGUEZ                                           000000000000000000N
061995051352999000002007TJUAN JORGE ROMERO TOLEDO                                                    000000000000000000N
061995051352999000002009TJOSE LUIS MARTINEZ GARCIA                                                   000000000000000000N
061995051352999000002010TJOSE JUAN LORENZO RODRIGUEZ                                                 000000000000000000N
061995051387999000002003TMIGUEL CELSO LIMA GONZALEZ                                                  000000000000000000N
061995051387999000002007TFRANCISCO CASTELLANOS CEJAS                                                 000000000000000000N
061995051385999000002001TJUAN DE LA BARREDA PEREZ                                                    000000000000000000S
061995051385999000002009TGABRIEL HERNANDEZ HERNANDEZ                                                 000000000000000000N
061995051385999000002013TPEDRO FELIPE CABRERA                                                        000000000000000000N
