061999061053500199Agaete                                                                                              102302300000005712000090000446200004463000000000000000000001612000025740000003400000020000034620000000000000000000N
061999061053500299Agüimes                                                                                             102602600000019305000280001517500015185000000000000000000005931000087750000006600000055000110450000000000000000000N
061999061053500399Antigua                                                                                             301701700000003617000040000338600003386000000000000000000000698000013920000001700000012000021190000000000000000000N
061999061053500499Arrecife                                                                                            200400400000040770000480003253000032539000000000000000000006973000115770000035900000087000159530000000000000000000N
061999061053500599Artenara                                                                                            102302300000001247000010000129600001296000000000000000000000278000007520000000300000004000011590000000000000000000N
061999061053500699Arucas                                                                                              101601600000030390000410002545200025459000000000000000000009107000145270000024400000101000186940000000000000000000N
061999061053500799Betancuria                                                                                          301701700000000619000010000050500000511000000000000000000000210000003250000000000000001000004470000000000000000000N
061999061053500899Firgas                                                                                              101601600000006575000070000537000005384000000000000000000002106000034700000003300000013000044230000000000000000000N
061999061053500999Gáldar                                                                                              102302300000021987000290001808800018103000000000000000000006509000109350000010500000079000144320000000000000000000N
061999061053501099Haría                                                                                               200400400000003779000060000307100003071000000000000000000000954000017200000002900000007000023730000000000000000000N
061999061053501199Ingenio                                                                                             102602600000023496000310001867200018674000000000000000000006853000105700000009800000049000133690000000000000000000N
061999061053501299Mogán                                                                                               102302300000011607000170000878900008801000000000000000000002348000039380000003800000015000056420000000000000000000N
061999061053501399Moya                                                                                                102302300000008613000150000747200007477000000000000000000002486000038840000005000000026000053240000000000000000000N
061999061053501499La Oliva                                                                                            301701700000008500000090000655900006559000000000000000000001748000032280000004700000025000043550000000000000000000N
061999061053501599Pájara                                                                                              301701700000008556000090000795100007951000000000000000000001625000030330000002600000032000044250000000000000000000N
061999061053501699Las Palmas de Gran Canaria                                                                          101601600000352641004910029802700298410000000000000000000072805001208700000258400001080001609480000000000000000000N
061999061053501799Puerto del Rosario                                                                                  301701700000019367000210001587300015877000000000000000000003708000064080000015400000073000093430000000000000000000N
061999061053501899San Bartolomé                                                                                       200400400000010127000150000956000009560000000000000000000001711000033140000012700000030000048270000000000000000000N
061999061053501999San Bartolomé de Tirajana                                                                           102602600000037162000540002727400027278000000000000000000008084000124710000014000000089000163470000000000000000000N
061999061053502099San Nicolás de Tolentino                                                                            102302300000008091000100000648500006485000000000000000000002645000041810000001200000018000054740000000000000000000N
061999061053502199Santa Brígida                                                                                       101601600000017143000200001401000014029000000000000000000003653000069910000016200000089000090240000000000000000000N
061999061053502299Santa Lucía de Tirajana                                                                             102602600000041769000540003244400032448000000000000000000010939000166910000013800000082000216730000000000000000000N
061999061053502399Santa María de Guía de Gran Canaria                                                                 102302300000013544000150001124900011254000000000000000000003654000064740000008400000048000088630000000000000000000N
061999061053502499Teguise                                                                                             200400400000010874000130000841200008412000000000000000000001811000033560000009500000047000048490000000000000000000N
061999061053502599Tejeda                                                                                              102302300000002445000040000238000002381000000000000000000000852000013490000002800000005000018440000000000000000000N
061999061053502699Telde                                                                                               102602600000083733001150006674800066759000000000000000000020347000322590000041200000270000418860000000000000000000N
061999061053502799Teror                                                                                               101601600000011459000140000976200009777000000000000000000003103000054320000006600000040000074210000000000000000000N
061999061053502899Tías                                                                                                200400400000011534000120000820100008202000000000000000000001606000029840000009600000020000039960000000000000000000N
061999061053502999Tinajo                                                                                              200400400000003964000070000302000003023000000000000000000000996000017320000003300000009000022710000000000000000000N
061999061053503099Tuineje                                                                                             301701700000008361000120000696500006966000000000000000000001863000032070000004700000027000049230000000000000000000N
061999061053503199Valsequillo de Gran Canaria                                                                         102602600000007710000090000625000006254000000000000000000002177000036860000003200000026000048370000000000000000000N
061999061053503299Valleseco                                                                                           101601600000004219000050000363100003634000000000000000000001262000021230000002900000027000027720000000000000000000N
061999061053503399Vega de San Mateo                                                                                   101601600000007146000110000658600006587000000000000000000002219000035860000005200000030000047710000000000000000000N
061999061053503499Yaiza                                                                                               200400400000003801000050000323000003231000000000000000000000850000014420000003000000008000020410000000000000000000N
061999061053800199Adeje                                                                                               401701700000013605000160001156400011570000000000000000000002536000044410000005400000033000059830000000000000000000N
061999061053800299Agulo                                                                                               603603600000001090000020000099400000995000000000000000000000346000005790000000300000003000008140000000000000000000N
061999061053800399Alajeró                                                                                             603603600000001206000020000103500001035000000000000000000000343000006150000000700000003000009440000000000000000000N
061999061053800499Arafo                                                                                               403803800000004536000060000409200004093000000000000000000001563000026290000002900000021000033080000000000000000000N
061999061053800599Arico                                                                                               401701700000005053000080000430300004305000000000000000000001437000022980000002100000009000032380000000000000000000N
061999061053800699Arona                                                                                               401701700000026312000390002590600025918000000000000000000005324000091760000013800000079000125560000000000000000000N
061999061053800799Barlovento                                                                                          503703700000002408000030000202000002020000000000000000000000479000009230000000900000012000014620000000000000000000N
061999061053800899Breña Alta                                                                                          503703700000005784000060000429500004301000000000000000000001512000024220000002500000002000032710000000000000000000N
061999061053800999Breña Baja                                                                                          503703700000003737000040000278300002783000000000000000000000960000015380000002500000006000020960000000000000000000N
061999061053801099Buenavista del Norte                                                                                402202200000005469000070000431500004316000000000000000000001434000023610000002400000012000030470000000000000000000N
061999061053801199Candelaria                                                                                          403803800000012681000150001080900010815000000000000000000003328000060430000011900000033000074770000000000000000000N
061999061053801299Fasnia                                                                                              401701700000002378000020000222300002223000000000000000000000696000013660000000900000012000018640000000000000000000N
061999061053801399Frontera                                                                                            704804800000004218000050000348300003483000000000000000000000982000017430000001600000003000017070000000000000000000N
061999061053801499Fuencaliente de la Palma                                                                            502402400000001728000020000145000001450000000000000000000000479000009130000000600000013000012340000000000000000000N
061999061053801599Garachico                                                                                           402202200000005497000070000455700004557000000000000000000001426000025840000001800000023000034910000000000000000000N
061999061053801699Garafía                                                                                             502402400000001754000050000155900001561000000000000000000000491000008160000000700000015000011210000000000000000000N
061999061053801799Granadilla de Abona                                                                                 401701700000017321000230001513000015132000000000000000000003686000065600000008000000054000092110000000000000000000N
061999061053801899La Guancha                                                                                          402202200000005140000060000424800004248000000000000000000001557000026950000002400000017000036500000000000000000000N
061999061053801999Guía de Isora                                                                                       401701700000011958000140001040200010403000000000000000000003282000055340000006300000072000073670000000000000000000N
061999061053802099Güímar                                                                                              403803800000013761000210001215800012164000000000000000000003373000060350000012300000047000082820000000000000000000N
061999061053802199Hermigua                                                                                            603603600000002057000040000179800001798000000000000000000000595000009770000000700000003000014310000000000000000000N
061999061053802299Icod de los Vinos                                                                                   402202200000022079000320001692100016936000000000000000000005752000095960000010700000115000126350000000000000000000N
061999061053802399San Cristóbal de La Laguna                                                                          402302300000127945001680010058500100646000000000000000000025775000422030000120800000344000558910000000000000000000N
061999061053802499Los Llanos de Aridane                                                                               502402400000017774000200001372100013726000000000000000000003867000064510000005600000042000089070000000000000000000N
