06200305000001PP                                                PARTIDO POPULAR                                                                                                                                       000001000001000001
06200305000002PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000002000002000002
06200305000005EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO                                                                                                    000005000005000005
06200305000006CC                                                COALICION CANARIA                                                                                                                                     000006000006000006
06200305000017UA                                                UNIDAD ALAVESA                                                                                                                                        000017000017000017
06200305000023EAJ-PNV/EA                                        COALICION EAJ-PNV/EA                                                                                                                                  000023000023000023
06200305000032PH                                                PARTIDO HUMANISTA                                                                                                                                     000032000032000032
06200305000039VERDES                                            LOS VERDES DE CANARIAS                                                                                                                                000039000039000039
06200305000060E.K.A.-P.C.                                       PARTIDO CARLISTA DE EUSKAL HERRIA                                                                                                                     000060000060000060
06200305000065PSE-EE                                            PARTIDO SOCIALISTA DE EUSKADI - EUSKADIKO EZKERRA                                                                                                     000065000065000065
06200305000076IUC                                               IZQUIERDA UNIDA CANARIA                                                                                                                               000076000076000076
06200305000084EB/IU                                             EZKER BATUA / IZQUIERDA UNIDA                                                                                                                         000084000084000084
06200305000090EB-IU                                             EZKER BATUA-IZQUIERDA UNIDA BERDEAK                                                                                                                   000090000084000084
06200305000110PNC                                               PARTIDO NACIONALISTA CANARIO                                                                                                                          000110000110000110
06200305000111PIL                                               PARTIDO DE INDEPENDIENTES DE LANZAROTE                                                                                                                000111000111000111
06200305000226ARALAR                                            ARALAR                                                                                                                                                000226000226000226
06200305000227PLAZANDREOK                                       PLAZANDREOK                                                                                                                                           000227000227000227
06200305001227U.TI                                              UNION TINERFEÑA                                                                                                                                       001227001227001227
06200305001229PCPC                                              PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                  001229001229001229
06200305001230APCA                                              ALTERNATIVA POPULAR CANARIA                                                                                                                           001230001230001230
06200305001231CC-AHI                                            COALICION CANARIA-AGRUPACION HERREÑA INDEPENDIENTE                                                                                                    000006000006000006
06200305001233UC-FNC                                            UNION CANARIA-F.N.C.                                                                                                                                  001214001214001214
06200305001234UNICE                                             UNION CENTRISTA                                                                                                                                       001234001234001234
06200305001235TPC                                               PARTIDO POLITICO TAGOROR PENSIONISTA DE CANARIAS                                                                                                      001235001235001235
06200305001238AC-25M                                            ALTERNATIVA CIUDADANA 25 DE MAYO                                                                                                                      001238001238001238
06200305001242AGC                                               ASAMBLEA GESTION CANARIA                                                                                                                              001242001242001242
06200305001243C.C.R.                                            CENTRO CANARIO REFORMISTA                                                                                                                             001243001243001243
06200305001244INPA                                              INICIATIVA POR LA PALMA                                                                                                                               001244001244001244
06200305002666I.F.                                              INDEPENDIENTES DE FUERTEVENTURA                                                                                                                       002666002666002666
06200305002667U.P.M                                             UNION DEL PUEBLO MAJORERO                                                                                                                             002667002667002667
06200305002670U.CE.E.                                           UNION CENTRISTA EUROPEA                                                                                                                               002670002670002670
06200305002671M.C.D.                                            MOVIMIENTO CANARIO DEMOCRATICO                                                                                                                        002671002671002671
06200305002672PDA-PCL                                           COALICION DE ASAMBLEA CONEJERA                                                                                                                        002672002672002672
