062003051351999000001001TJOSE MANUEL              SORIA                    LOPEZ                     000000000000000000S
062003051351999000001010TPEDRO LUIS               ROSALES                  PEDRERO                   000000000000000000S
062003051351999000001011TRAFAEL                   GUZMAN                   KHRABCHA LEMES            000000000000000000S
062003051351999000001012TMARIA DEL CARMEN         ROSARIO                  GODOY                     000000000000000000S
062003051351999000001013TCARLOS ALBERTO           SANCHEZ                  OJEDA                     000000000000000000S
062003051351999000001014TJOSE FRANCISCO           GONZALEZ                 GONZALEZ                  000000000000000000S
062003051351999000001015TERNESTO                  PEREZ                    REYES                     000000000000000000S
062003051351999000001016TJOSE MIGUEL              ALAMO                    MENDOZA                   000000000000000000N
062003051351999000001017TISIDRO SANTIAGO          GALVAN                   QUEVEDO                   000000000000000000N
062003051351999000001018TFERNANDO                 AMADOR                   RAMIREZ                   000000000000000000N
062003051351999000001019TJUAN MANUEL              RAMIREZ                  SANTIAGO                  000000000000000000N
062003051351999000001002TMIGUEL JESUS             JORGE                    BLANCO                    000000000000000000S
062003051351999000001020TCARLOS VALENTIN          SANCHEZ                  ALEMAN                    000000000000000000N
062003051351999000001021TILDEFONSO                UMPIERREZ                MUÑOZ                     000000000000000000N
062003051351999000001022TANTONIO                  MORENO                   HENRIQUEZ                 000000000000000000N
062003051351999000001023TJAIME                    DEL BUSTO                ARREGUI                   000000000000000000N
062003051351999000001024TANA MARIA                GUERRA                   GALVAN                    000000000000000000N
062003051351999000001025TGUILLERMO JESUS          MARISCAL                 REINOSO-JIMENEZ           000000000000000000N
062003051351999000001026TSEVERIANO                LUJAN                    CABRERA                   000000000000000000N
062003051351999000001027TANTONIO                  OJEDA                    HERRERA                   000000000000000000N
062003051351999000001028TJOSEFA                   VIERA                    DIAZ                      000000000000000000N
062003051351999000001029TE. ENCARNACION           DOMINGUEZ                AFONSO                    000000000000000000N
062003051351999000001003TJUAN JOSE                CARDONA                  GONZALEZ                  000000000000000000S
062003051351999000001004TLUIS LARRY               ALVAREZ                  CARDERO                   000000000000000000S
062003051351999000001005TMARIA DE LA SALUD        GIL                      ROMERO                    000000000000000000S
062003051351999000001006TROSA                     RODRIGUEZ                DIAZ                      000000000000000000S
062003051351999000001007TJOSE                     JIMENEZ                  SUAREZ                    000000000000000000S
062003051351999000001008TMARIA CRISTINA           REYES                    PADILLA                   000000000000000000S
062003051351999000001009TDOMINGO ANTONIO          BUENO                    MARRERO                   000000000000000000S
062003051351999000002001TJOSE MIGUEL              PEREZ                    GARCIA                    000000000000000000S
062003051351999000002010TRAFAEL                   MORALES                  PONCE                     000000000000000000N
062003051351999000002011TCONCEPCION               MARTINEZ                 PEREZ                     000000000000000000N
062003051351999000002012TMARIA DOLORES            BATISTA                  BETHENCOURT               000000000000000000N
062003051351999000002013TANTONIO                  MARTIN                   PEREZ                     000000000000000000N
062003051351999000002014TARA                      YOO                      HAN                       000000000000000000N
062003051351999000002015TANTONIO                  RICO                     REVUELTA                  000000000000000000N
062003051351999000002016TONELIA DEL PINO          GARCIA                   MARRERO                   000000000000000000N
062003051351999000002017TANTONIO                  MONZON                   BORGES                    000000000000000000N
062003051351999000002018TANGELA M. DEL CARMEN     MERINO                   DIAZ                      000000000000000000N
062003051351999000002019TANGEL HOHAWSSON          TRUJILLO                 GONZALEZ                  000000000000000000N
062003051351999000002002TFRANCISCA                LUENGO                   OROL                      000000000000000000S
062003051351999000002020TFRANCISCA                MARTIN                   HERNANDEZ                 000000000000000000N
062003051351999000002021TMANUEL                   CABRERA                  SUAREZ                    000000000000000000N
062003051351999000002022TRAFAEL                   PEREZ                    JIMENEZ                   000000000000000000N
062003051351999000002023TANGEL                    TRUJILLO                 JORGE                     000000000000000000N
062003051351999000002024TJUAN                     BETANCOR                 LEON                      000000000000000000N
062003051351999000002025TRAFAEL                   PEREZ                    JIMENEZ                   000000000000000000N
062003051351999000002026TMILAGROSA                MONZON                   SUAREZ                    000000000000000000N
062003051351999000002027TMIGUEL                   SUAREZ                   BOSA                      000000000000000000N
062003051351999000002028TJOSE                     REGIDOR                  GARCIA                    000000000000000000N
062003051351999000002029TANTONIA FERNANDA         CABRES                   CHIRIVELLA                000000000000000000N
062003051351999000002003TDEMETRIO                 SUAREZ                   DIAZ                      000000000000000000S
062003051351999000002004TLUZ MARINA               CABALLERO                RODRIGUEZ                 000000000000000000S
062003051351999000002005TROBERTO                  MORENO                   DIAZ                      000000000000000000S
062003051351999000002006TFRANCISCO                ORTEGA                   ANDRADE                   000000000000000000S
062003051351999000002007TMARIA ISABEL             GUERRA                   SANCHEZ                   000000000000000000S
062003051351999000002008TFRANCISCO JAVIER         GARCIA                   LA TORRE                  000000000000000000N
062003051351999000002009TASUNCION                 GONZALEZ                 PEREZ                     000000000000000000N
062003051351999000006001TCARMELO                  RAMIREZ                  MARRERO                   000000000000000000S
062003051351999000006010TRAFAEL VICTOR            RODRIGUEZ                SANCHEZ                   000000000000000000N
062003051351999000006011TBEATRIZ                  CALZADA                  OJEDA                     000000000000000000N
062003051351999000006012TJUAN MANUEL              CAMPOS                   CALDERO                   000000000000000000N
062003051351999000006013TMARIA BELEN              GARCIA                   BERMUDEZ                  000000000000000000N
062003051351999000006014TARCADIO                  DOMINGUEZ                RODRIGUEZ                 000000000000000000N
062003051351999000006015TCARMEN                   BAUTISTA                 SEGURA                    000000000000000000N
062003051351999000006016TAURELIO FRANCISCO        SANTIAGO                 CASTELLANO                000000000000000000N
062003051351999000006017TFROLIAN G.               RODRIGUEZ                DIAZ                      000000000000000000N
062003051351999000006018TANTONIO JESUS            ORTEGA                   RODRIGUEZ                 000000000000000000N
062003051351999000006019TANTONIO                  MORALES                  MENDEZ                    000000000000000000N
062003051351999000006002TROSARIO                  CHESA                    PADRON                    000000000000000000S
062003051351999000006020TCRISTINA                 VILLEGAS                 HENRIQUEZ                 000000000000000000N
062003051351999000006021TFERNANDO L.              BAÑOLAS                  BOLAÑOS                   000000000000000000N
062003051351999000006022TESTHER G.                GONZALEZ                 MORENO                    000000000000000000N
062003051351999000006023TSILVERIO                 MATOS                    PEREZ                     000000000000000000N
062003051351999000006024TJOSE                     PERDOMO                  NEGRIN                    000000000000000000N
