06201105105352Lanzarote                                         00141437001420008111400081148000000000000000000018169000304790000180400001591000411230000230000000000000000S
06201105105353Fuerteventura                                     00103492001110005447000054523000000000000000000014397000230980000078800001033000331280000230000000000000000S
06201105105386La Gomera                                         00022776000310001610400016118000000000000000000005416000085670000013200000213000122410000170000000000000000S
06201105105389Santa Cruz de Tenerife                            01027914012380071226500712377000000000000000000204093003324830000945000009592004436640000820000000000000000S
06201105105385La Palma                                          00087324001210006424200064248000000000000000000020263000324970000061200000893000441840000210000000000000000S
06201105105387El Hierro                                         00010960000170000811100008118000000000000000000002458000041510000005800000063000060230000130000000000000000S
06201105105384Tenerife                                          00906854010690062380800623893000000000000000000175956002872680000864800008423003812160000310000000000000000S
06201105105351Gran Canaria                                      00845676012580062628200626421000000000000000000181034002795970001108500012243003666850000290000000000000000S
06201105105359Las Palmas                                        01090605015110076186600762092000000000000000000213600003331740001367700014867004409360000750000000000000000S
06201105105999Canarias                                          02118519027490147413101474469000000000000000000417693006656570002312700024459008846000001570000000000000000S
