062019051351999001002001TJOSÉ MIGUEL              BRAVO DE LAGUNA          BERMÚDEZ                 M00000000          S
062019051351999001002010TLORENA MARÍA             MORENO                   GONZÁLEZ                 F00000000          N
062019051351999001002011TRITA CARMEN              MARRERO                  BATISTA                  F00000000          N
062019051351999001002012TMARCIAL JESÚS            RODRÍGUEZ                DE LEÓN                  M00000000          N
062019051351999001002013TRUBÉN                    CURBELO                  NIETO                    M00000000          N
062019051351999001002014TCARLOS LUIS              ÁLAMO                    SUÁREZ                   M00000000          N
062019051351999001002015TDOLORES DEL ROSARIO      ROSALES                  RODRÍGUEZ                F00000000          N
062019051351999001002016TMARÍA MILAGROSA          BELTRÁN                  CONEJERO                 F00000000          N
062019051351999001002017TSERGIO LUIS              SUÁREZ                   VEGA                     M00000000          N
062019051351999001002018TCARMELO LUCIANO          BÁEZ                     DE LA FE                 M00000000          N
062019051351999001002019TMARÍA GRACIA             RODRÍGUEZ                GARCÍA                   F00000000          N
062019051351999001002002TAURORA ILUMINADA         MORENO                   SANTANA                  F00000000          S
062019051351999001002020TLUIS                     BOLAÑOS                  BOLAÑOS                  M00000000          N
062019051351999001002021TPEDRO HILARIO            SOCORRO                  BENÍTEZ                  M00000000          N
062019051351999001002022TAGUSTÍN                  MATOS                    LORENZO                  M00000000          N
062019051351999001002023TMARÍA TAHONA             ORTEGA                   MONTESDEOCA              F00000000          N
062019051351999001002024TANTONIA MARÍA            PÉREZ                    PÉREZ                    F00000000          N
062019051351999001002025TCARMELO                  REYES                    VEGA                     M00000000          N
062019051351999001002026TYILENIA                  VEGA                     MACÍAS                   F00000000          N
062019051351999001002027TFELIPE                   VEGA                     VEGA                     M00000000          N
062019051351999001002028TNEREIDA MARÍA            HERNÁNDEZ                SANTANA                  F00000000          N
062019051351999001002029TSERGIO BONIFACIO         JIMENEZ                  CASTELLANO               M00000000          N
062019051351999001002003TMARÍA ÁNGELES            BATISTA                  PERDOMO                  F00000000          S
062019051351999001002004TMARÍA GLORIA             CABRERA                  CALDERÍN                 F00000000          N
