02197706000001ADC                                               AGRUPACION DE ELECTORES CARLISTAS                                                                                                                     000001000001000001
02197706000002ADEC                                              ASOCIACION DE ELECTORES DE CEUTA                                                                                                                      000002000002000002
02197706000003AEICYU                                            AGRUPACION ELECTORAL INDEP. DEL CAMPO Y LA CIUDAD                                                                                                     000003000003000003
02197706000004AET                                               AGRUPACION ELECTORAL DE TRABAJADORES                                                                                                                  000004000004000004
02197706000005AFN                                               ALIANZA FORAL NAVARRA                                                                                                                                 000005000005000005
02197706000006ANEPA-CP                                          ASOC.NAL. PARA EL ESTUDIO DE PROBLEMAS ACTUALES                                                                                                       000006000006000006
02197706000007ANV                                               ACCION NACIONALISTA VASCA                                                                                                                             000007000007000007
02197706000008AN18                                              ALIANZA NACIONAL 18 DE JULIO                                                                                                                          000008000008000008
02197706000009AP                                                FEDERACION DE PARTIDOS DE ALIANZA POPULAR                                                                                                             000009000009000009
02197706000010APC                                               ACCION POR CEUTA                                                                                                                                      000010000010000009
02197706000011ASA                                               AGRUP.ELEC. Y PART.INDEP. ACCION SOCIAL AGRARIA                                                                                                       000011000011000011
02197706000012ASDCI                                             ALIANZA SOCIALISTA DEMOCRATICA                                                                                                                        000012000012000012
02197706000013BAI                                               BLOQUE ANDALUZ DE IZQUIERDA                                                                                                                           000013000013000013
02197706000014BNPG                                              BLOQUE NACIONAL POPULAR GALLEGO                                                                                                                       000014000014000014
02197706000015CAI                                               CANDIDATURA ANDALUZA DE IZQUIERDA                                                                                                                     000015000015000015
02197706000016CAIC                                              CANDIDATURA ARAGONESA INDEPENDIENTE DE CENTRO                                                                                                         000016000016000016
02197706000017CC-AP                                             COALICION ELECTORAL CONVIVENCIA CATALANA                                                                                                              000017000017000009
02197706000018CCIA                                              CENTRO IZQUIERDA DE ALBACETE                                                                                                                          000018000018000018
02197706000019CIPYE                                             CANDIDATOS INDEP. DE LA PEQUEÑA Y MEDIANA EMPRESA                                                                                                     000019000019000019
