02198606107029Albacete                                          00346217004400026526700265267000000000000000000112620001514550000128900002126001903520000040000000000000000N
02198606107459Toledo                                            00486194004480037040900370409000000000000000000173592002400200000157700004657002826830000050000000000000000N
02198606118519Ceuta                                             00065151000460004323000043230000000000000000000014986000200270000013600000329000240450000010000000000000000N
02198606101119Cádiz                                             01044493009390072274600722746000000000000000000283389003969360000241600008290004687580000090000000000000000N
02198606106999Cantabria                                         00522664005050040475700404757000000000000000000173559002457650000237100006164002886930000050000000000000000N
02198606101239Jaén                                              00646849006890048736400487364000000000000000000204315002821130000117100004141003646130000060000000000000000N
02198606102509Zaragoza                                          00824778011330065684200656842000000000000000000287523003753890000361600009859004511850000080000000000000000N
02198606109089Barcelona                                         04614364052760357640403576404000000000000000001488014019075990000990500019897024298900000330000000000000000N
02198606112289Madrid                                            04780515044540355792803557928000000000000000001443164021081950002481400044844025597480000330000000000000000N
02198606114019Álava                                             00267728003200019892400198924000000000000000000084577001116660000098600002522001355760000040000000000000000N
02198606115309Murcia                                            01006788010300072904100729041000000000000000000329207004294720000262400008105005335940000080000000000000000N
02198606107169Cuenca                                            00213283003230017129500171295000000000000000000073759001023900000076300001758001258540000030000000000000000N
02198606108059Ávila                                             00181770003220014624600146246000000000000000000064172000936880000050200002566001091380000030000000000000000N
02198606108099Burgos                                            00358967006740028586000285860000000000000000000124677001715260000199700004095001983210000040000000000000000N
02198606109179Gerona                                            00488322006410036824100368241000000000000000000152458002051130000105100002522002602810000050000000000000000N
02198606115999Región de Murcia                                  01006788010300072904100729041000000000000000000329207004294720000262400008105005335940000080000000000000000N
02198606117039Alicante                                          01217279011290087034700870347000000000000000000400309005233690000295400013226006350950000100000000000000000N
02198606102229Huesca                                            00209854003620017623100176231000000000000000000069687000962750000099100002826001197850000030000000000000000N
02198606102999Aragón                                            01183992018050095877400958774000000000000000000405278005409740000536100014063006573300000140000000000000000N
02198606103999Principado de Asturias                            01112186014100091044700910447000000000000000000358356005090260000347700010930006030370000090000000000000000N
02198606106399Cantabria                                         00522664005050040475700404757000000000000000000173559002457650000237100006164002886930000050000000000000000N
02198606107199Guadalajara                                       00145951003780011532100115321000000000000000000049864000694450000065500001434000856340000030000000000000000N
02198606107999Castilla - La Mancha                              01675279022260129373501293735000000000000000000559082007749080000586600014009009515810000200000000000000000N
02198606108999Castilla y León                                   02581403040750207003002070030000000000000000000857459012428190001327400030147014636900000340000000000000000N
02198606111369Pontevedra                                        00900414009020068590100685901000000000000000000192644003164660000213700004570004049560000080000000000000000N
02198606105359Las Palmas                                        00751269007550050434700504347000000000000000000212443002913870000151900008469003478550000070000000000000000N
02198606107139Ciudad Real                                       00483634006370037144300371443000000000000000000149247002115980000158200004034002670580000050000000000000000N
02198606116999La Rioja                                          00260024003810020360400203604000000000000000000096475001244140000136100002968001469670000040000000000000000N
02198606101189Granada                                           00783265006800058296700582967000000000000000000203673003110210000160400004288003986410000070000000000000000N
02198606104999Illes Balears                                     00680933008070052812200528122000000000000000000201957002671000000245200007592003386040000060000000000000000N
02198606108349Palencia                                          00189433003060014965700149657000000000000000000059176000913780000082700002077001109120000030000000000000000N
02198606114999País Vasco                                        02136100022990164749501647495000000000000000000678464008954190000560200018407010894270000210000000000000000N
02198606116269La Rioja                                          00260024003810020360400203604000000000000000000096475001244140000136100002968001469670000040000000000000000N
02198606119529Melilla                                           00052388000440003333000033330000000000000000000012245000167270000028900000224000194800000010000000000000000N
02198606101049Almería                                           00442324004190031364400313644000000000000000000107372001578770000073400002570002093330000050000000000000000N
02198606105389Santa Cruz de Tenerife                            00715122007060049537800495378000000000000000000175912002670400000102900005322003184580000060000000000000000N
02198606108499Zamora                                            00222009003780018861500188615000000000000000000075035001095590000118100002970001280100000040000000000000000N
02198606111279Lugo                                              00404888004600033935100339351000000000000000000075210001342890000108400002976001873980000050000000000000000N
02198606101999Andalucía                                         06789772063520482887204828872000000000000000001881891027127350001484700046066033563540000600000000000000000N
02198606102449Teruel                                            00149360003100012570100125701000000000000000000048068000693100000075400001378000863600000030000000000000000N
02198606104079Baleares                                          00680933008070052812200528122000000000000000000201957002671000000245200007592003386040000060000000000000000N
02198606108249León                                              00530787006540042908000429080000000000000000000153506002372430000240700005305002861440000050000000000000000N
02198606108429Soria                                             00097734002240008151100081511000000000000000000033538000471930000059200001888000562710000030000000000000000N
02198606110069Badajoz                                           00666053007430049755900497559000000000000000000227604003024360000195500004340003641660000060000000000000000N
02198606117129Castellón                                         00436588005170033849600338496000000000000000000162127002145430000145000005593002564130000050000000000000000N
02198606109439Tarragona                                         00523883005930040788300407883000000000000000000155725002109360000135100003392002764330000050000000000000000N
02198606117469Valencia                                          02078815021000158959001589590000000000000000000776568010045260000563700027403011902130000160000000000000000N
02198606119999Ciudad de Melilla                                 00052388000440003333000033330000000000000000000012245000167270000028900000224000194800000010000000000000000N
02198606109999Cataluña                                          05978505069600463675904636759000000000000000001902668024670200001318000027257031565600000470000000000000000N
02198606110109Cáceres                                           00420367004630033148000331480000000000000000000147323001962470000117300003197002351590000050000000000000000N
02198606114209Guipúzcoa                                         00689222007750053560700535607000000000000000000215052002830760000168100003336003455650000070000000000000000N
02198606101299Málaga                                            01150434007550075283100752831000000000000000000273640004070040000253100008058004937890000090000000000000000N
02198606103339Asturias                                          01112186014100091044700910447000000000000000000358356005090260000347700010930006030370000090000000000000000N
02198606110999Extremadura                                       01086420012060082903900829039000000000000000000374927004986830000312800007537005993250000110000000000000000N
02198606111999Galicia                                           02841033031520224501402245014000000000000000000614499009967310000710300017755012748240000270000000000000000N
02198606113319Navarra                                           00515624007800039927800399278000000000000000000170906002226380000271200005529002704400000050000000000000000N
02198606199999Total nacional                                    38467850427392911761329117613000000000000000011802482163735180012118600321939200817330003500000000000000000N
02198606113999Comunidad Foral de Navarra                        00515624007800039927800399278000000000000000000170906002226380000271200005529002704400000050000000000000000N
02198606101419Sevilla                                           01540907017190110138201101382000000000000000000444282006537510000307700010407007971060000120000000000000000N
02198606105999Canarias                                          01466391014610099972500999725000000000000000000388355005584270000254800013791006663130000130000000000000000N
02198606108379Salamanca                                         00359048005520028884300288843000000000000000000126545001832960000222100003575002111140000040000000000000000N
02198606108479Valladolid                                        00491021006960038336400383364000000000000000000170063002334060000239500005292002747710000050000000000000000N
02198606111159La Coruña                                         01109788012570087287800872878000000000000000000254734003977330000301700008188005091240000090000000000000000N
02198606111329Orense                                            00425943005330034688400346884000000000000000000091911001482430000086500002021001733460000050000000000000000N
02198606117999Comunitat Valenciana                              03732682037460279843302798433000000000000000001339004017424380001004100046222020817210000310000000000000000N
02198606118999Ciudad de Ceuta                                   00065151000460004323000043230000000000000000000000149000200270000013600000329000240450000010000000000000000N
02198606101149Córdoba                                           00747505006910055369200553692000000000000000000243412003371530000238300004887004155040000070000000000000000N
02198606101219Huelva                                            00433995004600031424600314246000000000000000000121808001668800000093100003425002086100000050000000000000000N
02198606108409Segovia                                           00150634002690011685400116854000000000000000000050747000755300000115200002379000890090000030000000000000000N
02198606109259Lérida                                            00351936004500028423100284231000000000000000000106471001433720000087300001446001899560000040000000000000000N
02198606112999Comunidad de Madrid                               04780515044540355792803557928000000000000000001443164021081950002481400044844025597480000330000000000000000N
02198606114489Vizcaya                                           01179150012040091296400912964000000000000000000378835005006770000293500012549006082860000100000000000000000N
