02199603000001ABA                                               ALIANCA BALEAR                                                                                                                                        000001000001000001
02199603000002ADEC                                              ACCION DEMOCRATICA CIUDADANA                                                                                                                          000002000002000002
02199603000004AFIT                                              AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS                                                                                                     000004000004000004
02199603000005ALAS                                              AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL                                                                                                               000005000005000005
02199603000006AR                                                ACCION REPUBLICANA                                                                                                                                    000006000006000006
02199603000007AUN                                               ALIANZA POR LA UNIDAD NACIONAL                                                                                                                        000007000007000007
02199603000009BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000009000009000009
02199603000010CC                                                COALICION CANARIA                                                                                                                                     000010000010000010
02199603000011CCV                                               CENTRISTAS DE LA COMUNIDAD VALENCIANA                                                                                                                 000011000011000011
02199603000012CDN                                               CONVERGENCIA DEMOCRATAS DE NAVARRA                                                                                                                    000012000012000012
02199603000013CEX                                               COALICION EXTREMEÑA                                                                                                                                   000013000013000013
02199603000014CHA                                               CHUNTA ARAGONESISTA                                                                                                                                   000014000014000014
02199603000015CIU                                               CONVERGENCIA I UNIO                                                                                                                                   000015000015000015
02199603000018CR                                                COALICIO REPUBLICANA                                                                                                                                  000018000018000019
02199603000019CR                                                COALICION REPUBLICANA                                                                                                                                 000019000019000019
02199603000020DSA                                               DINAMICA SOCIAL ARAGONESA                                                                                                                             000020000020000020
02199603000021EA                                                EUSKO ALKARTASUNA                                                                                                                                     000021000021000021
02199603000022EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO                                                                                                    000022000022000022
02199603000024ENV                                               ESQUERRA NACIONALISTA VALENCIANA                                                                                                                      000024000024000024
02199603000025ERC                                               ESQUERRA REPUBLICANA DE CATALUNYA                                                                                                                     000025000025000025
02199603000026EU-EG                                             ESQUERDA UNIDA-ESQUERDA GALEGA                                                                                                                        000026000026000041
02199603000027EUPV                                              ESQUERRA UNIDA DEL PAIS VALENCIA                                                                                                                      000027000027000041
02199603000028EV                                                ELS VERDS DEL PAIS VALENCIA                                                                                                                           000028000028000058
02199603000029EV                                                ELS VERDS-LOS VERDES                                                                                                                                  000029000028000058
02199603000030EVE-AEC                                           ELS VERDS EUROPEUS-ALTER. ECOLOGISTA DE CATALUNYA                                                                                                     000030000030000058
02199603000031EVIB                                              ELS VERDS DE LES ILLES BALEARS                                                                                                                        000031000031000058
