02200403101189Granada                                           00828107011360069424400694304000000000000000000281182004322670000827600003300005141460000070000000000000000S
02200403104079Illes Balears                                     00947361010580068776900687834000000000000000000277126003952960000907300003362004610460000080000000000000000S
02200403108059Ávila                                             00165480003710014363300143641000000000000000000061985000938700000199700001130001115850000030000000000000000S
02200403108099Burgos                                            00355205007530030315800303177000000000000000000127156001898830000604600001694002295510000040000000000000000S
02200403109439Tarragona                                         00654149009350051655600516584000000000000000000218393003109860000339800001828003816150000060000000000000000S
02200403112999Comunidad de Madrid                               05718942062250445815904458540000000000000000001676725027535570007203800017465034297400000350000000000000000S
02200403114489Vizcaya                                           01133428013880097468900974742000000000000000000406442006000410000875400045979006844310000090000000000000000S
02200403114999País Vasco                                        02112204026860180381101803937000000000000000000745171010953900001688900104017012314280000190000000000000000S
02200403111279Lugo                                              00360512005860034740900347433000000000000000000096831001807010000293500001809002464990000040000000000000000S
02200403112289Madrid                                            05718942062250445815904458540000000000000000001676725027535570007203800017465034297400000350000000000000000S
02200403114209Guipúzcoa                                         00684416009150058177200581818000000000000000000238890003451050000550900049329003672830000060000000000000000S
02200403117129Castellón / Castelló                              00518239006990040152900401559000000000000000000181619002646020000502500002703003071490000050000000000000000S
02200403117999Comunitat Valenciana                              04470885057130344061903440892000000000000000001569554022437730003880500017468026177470000320000000000000000S
02200403101149Córdoba                                           00775944009410063310800633155000000000000000000267718004062320000825600003096004857350000070000000000000000S
02200403101299Málaga                                            01374890016650103324401033409000000000000000000413401006220480001302200004020007259540000100000000000000000S
02200403107459Toledo                                            00563099007480045026000450322000000000000000000197338003052340000499800003142003559060000050000000000000000S
02200403111159A Coruña                                          01120814015890105354901053738000000000000000000326658005759320001334700005255007253340000090000000000000000S
02200403199999Total nacional                                    42717064565853456850934571831000000000000000013723532210859150040779500264137254835040003500000000000000000S
02200403101999Andalucía                                         07606848096200605097306051769000000000000000002425680037369260007430500027780044229680000610000000000000000S
02200403102229Huesca                                            00211286004070017697600176971000000000000000000070003001072480000262700000908001320600000030000000000000000S
02200403107139Ciudad Real                                       00487670007680039311800393160000000000000000000162826002513140000472100002856003013200000050000000000000000S
02200403108249León                                              00495998007260045023900450279000000000000000000165665002688490000503100001750003301040000050000000000000000S
02200403108999Castilla y León                                   02487646046990217933702179521000000000000000000878099013660010003366900013066016491880000330000000000000000S
02200403110069Badajoz                                           00663142008590053851900538650000000000000000000234566003465680000557800003041004186420000060000000000000000S
02200403101219Huelva                                            00472446005760037838800378428000000000000000000138929002203800000400900001907002711120000050000000000000000S
02200403111369Pontevedra                                        00927555012770084858000848707000000000000000000266117004769390001000900004521005976070000070000000000000000S
02200403116999La Rioja                                          00287390004770023475800234776000000000000000000106665001511460000382700001446001812720000040000000000000000S
02200403108349Palencia                                          00175047004040015266300152681000000000000000000059008000945370000236200000979001179450000030000000000000000S
02200403117039Alicante / Alacant                                01632349020930115464201154729000000000000000000528400007519440001234200005601008771800000110000000000000000S
02200403106999Cantabria                                         00549690006790047905500479189000000000000000000201683003060650000826700003244003585590000050000000000000000S
02200403107999Castilla - La Mancha                              01815781029280145876201458944000000000000000000618873009559700001872600010050011369660000200000000000000000S
02200403116269La Rioja                                          00287390004770023475800234776000000000000000000106665001511460000382700001446001812720000040000000000000000S
02200403103339Asturias                                          01075381015990098630700986352000000000000000000356747005597090001445300003902006892020000080000000000000000S
02200403103999Principado de Asturias                            01075381015990098630700986352000000000000000000356747005597090001445300003902006892020000080000000000000000S
02200403107169Cuenca                                            00202982003850016556000165576000000000000000000072078001098590000209100001102001316690000030000000000000000S
02200403108429Soria                                             00090954002510007853300078531000000000000000000027196000446890000125500001612000562040000030000000000000000S
02200403109089Barcelona                                         05052666058520400711904007330000000000000000001662121024559920002797900008475030158560000310000000000000000S
02200403118999Ciudad de Ceuta                                   00074931000910005674300056751000000000000000000018795000281310000051500000319000351760000010000000000000000S
02200403119999Ciudad de Melilla                                 00068463000670004911600049129000000000000000000013676000212700000043500000225000267720000010000000000000000S
02200403101049Almería                                           00565310006880042730000427310000000000000000000163708002535560000419700001553003016390000050000000000000000S
02200403101419Sevilla                                           01782862023130143167201432031000000000000000000600284009302790001996000006602010771960000120000000000000000S
02200403102449Teruel                                            00138686003370011614000116141000000000000000000044062000683850000134900000705000866330000030000000000000000S
02200403102509Zaragoza                                          00880118014460072677700726811000000000000000000311617004522590001170300003118005466290000070000000000000000S
02200403107199Guadalajara                                       00185474004750015107300151106000000000000000000063809000970260000254400001140001174200000030000000000000000S
02200403108479Valladolid                                        00506302008120043175700431774000000000000000000185289002855700000757800002042003408240000050000000000000000S
02200403109999Cataluña                                          06704146081510530845105308714000000000000000002197726032444940003592300012816039838500000470000000000000000S
02200403110999Extremadura                                       01073904014570088521800885410000000000000000000392080005751430000888900005164006877570000100000000000000000S
02200403117469Valencia / València                               02320297029210188444801884604000000000000000000859535012272270002143800009164014334180000160000000000000000S
02200403107029Albacete                                          00376556005520029875100298780000000000000000000122822001925370000437200001810002306510000040000000000000000S
02200403108379Salamanca                                         00348271006590031236600312421000000000000000000128317001953560000469200001722002329610000040000000000000000S
02200403109179Girona                                            00619692008140047242400472443000000000000000000198466002966590000267200001552003549700000060000000000000000S
02200403118519Ceuta                                             00074931000910005674300056751000000000000000000018795000281310000051500000319000351760000010000000000000000S
02200403104999Illes Balears                                     00947361010580068776900687834000000000000000000277126003952960000907300003362004610460000080000000000000000S
02200403105999Canarias                                          01894868025040145786401457938000000000000000000424545007069730001038200005630009564640000150000000000000000S
02200403106399Cantabria                                         00549690006790047905500479189000000000000000000201683003060650000826700003244003585590000050000000000000000S
02200403108409Segovia                                           00150701003170012463300124638000000000000000000053398000825720000218300000995000979130000030000000000000000S
02200403108499Zamora                                            00199688004060018235500182379000000000000000000070085001106750000252500001142001321010000030000000000000000S
02200403114019Álava                                             00294360003830024735000247377000000000000000000099839001502440000262600008709001797140000040000000000000000S
02200403115999Región de Murcia                                  01269230014830094110100941145000000000000000000406603006131840001033100004491007104440000090000000000000000S
02200403109259Lleida                                            00377639005500031235200312357000000000000000000118746001808570000187400000961002314090000040000000000000000S
02200403102999Aragón                                            01230090021900101989301019923000000000000000000425682006278920001567900004731007653220000130000000000000000S
02200403105389Santa Cruz de Tenerife                            00915262011320072176400721781000000000000000000202293003402450000433300002275004673760000070000000000000000S
02200403111999Galicia                                           02751094040310260443002604886000000000000000000801038014200020002885000013130018068340000240000000000000000S
02200403113999Comunidad Foral de Navarra                        00578210009270046614300466181000000000000000000187064002849930000673900015831003327690000050000000000000000S
02200403110109Cáceres                                           00410762005980034669900346760000000000000000000157514002285750000331100002123002691150000040000000000000000S
02200403111329Ourense                                           00342213005790035489200355008000000000000000000111432001864300000255900001545002373940000040000000000000000S
02200403113319Navarra                                           00578210009270046614300466181000000000000000000187064002849930000673900015831003327690000050000000000000000S
02200403101119Cádiz                                             01155724014510092713500927177000000000000000000348693005358990001163400004577006320050000090000000000000000S
02200403101239Jaén                                              00651565008500052588200525955000000000000000000211765003362650000495100002725004151810000060000000000000000S
02200403105359Las Palmas                                        00979606013720073610000736157000000000000000000222252003667280000604900003355004890880000080000000000000000S
02200403115309Murcia                                            01269230014830094110100941145000000000000000000406603006131840001033100004491007104440000090000000000000000S
02200403119529Melilla                                           00068463000670004911600049129000000000000000000013676000212700000043500000225000267720000010000000000000000S
