07198706000001PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000001000001000001
07198706000002AP                                                FEDERACION DE PARTIDOS DE ALIANZA POPULAR                                                                                                             000002000002000002
07198706000003CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000003000003000003
07198706000004IU                                                COALICION IZQUIERDA UNIDA                                                                                                                             000004000004000004
07198706000005PDP                                               PARTIDO DEMOCRATA POPULAR                                                                                                                             000005000005000005
07198706000009HB                                                HERRI BATASUNA                                                                                                                                        000009000009000009
07198706000010CIU                                               COALICION CONVERGENCIA I UNIO                                                                                                                         000010000010000010
07198706000013AIC                                               COALICION AGRUPACIONES INDEPEND. DE CANARIAS                                                                                                          000013000013000013
07198706000018EU                                                EXTREMADURA UNIDA                                                                                                                                     000018000018000018
07198706000019FE-JONS                                           FALANGE ESPAÑOLA DE LAS JONS                                                                                                                          000019000019000019
07198706000020LV                                                LOS VERDES                                                                                                                                            000020000020000020
07198706000021PANCAL                                            PARTIDO NACIONALISTA DE CASTILLA Y LEON                                                                                                               000021000021000021
07198706000022PAR                                               PARTIDO ARAGONES REGIONALISTA                                                                                                                         000022000022000022
07198706000023POSI                                              PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA                                                                                                           000023000023000023
07198706000026PSC-PSOE                                          PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  000026000026000001
07198706000031PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000031000031000031
07198706000032UCE                                               UNIFICACION COMUNISTA DE ESPAÑA                                                                                                                       000032000032000032
07198706000034UV                                                UNIO VALENCIANA-UNION VALENCIANA                                                                                                                      000034000034000034
07198706000037PTE-UC                                            P. TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA                                                                                                            000037000037000037
07198706000038PH                                                PLATAFORMA HUMANISTA                                                                                                                                  000038000038000038
07198706000046UM                                                UNIO MALLORQUINA                                                                                                                                      000046000046000046
07198706000051ERC-EA-PNG                                        PER L'EUROPA DE LES NACIONS                                                                                                                           000051000051000108
07198706000058PRC                                               PARTIDO REGIONALISTA DE CANTABRIA                                                                                                                     000058000058000058
07198706000067LA                                                LIBERACION ANDALUZA                                                                                                                                   000067000067000067
07198706000069CV                                                CONFEDERACION DE LOS VERDES                                                                                                                           000069000069000069
07198706000082PA                                                PARTIDO ANDALUCISTA                                                                                                                                   000082000082000082
07198706000098BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000098000098000098
07198706000105FN                                                FRENTE NACIONAL                                                                                                                                       000105000105000105
07198706000106PED                                               PARTIDO ESPAÑOL DEMOCRATA                                                                                                                             000106000106000106
07198706000108EA-ERC-PNG                                        COALICION POR LA EUROPA DE LOS PUEBLOS                                                                                                                000108000108000108
07198706000109PNV-PG-N                                          COALICION UNION EUROPEISTA-EUROPAR BATASUNA                                                                                                           000109000109000109
07198706000111ANEMYA                                            ASAMBLEA NAC.ESTUDIANT.DE MEDICINA Y ASOCIADOS                                                                                                        000111000111000111
07198706000112CIP                                               COALICION IZQUIERDA DE LOS PUEBLOS                                                                                                                    000112000112000112
07198706000113PORE                                              PART.DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA                                                                                                         000113000113000113
07198706000114PCV                                               PARTIDO COALICION VALENCIANA                                                                                                                          000114000114000114
07198706000115AS                                                ACCION SOCIAL                                                                                                                                         000115000115000115
07198706000116CSD                                               COALICION SOCIALDEMOCRATA                                                                                                                             000116000116000116
07198706000176PSM-EN(CIP)                                       PSM-ESQUERRA NACIONALISTA-ESQUERRA DELS POBLES                                                                                                        000176000176000112
07198706000177CIP-ENE                                           ESQUERRA DELS POBLES-ENTESA DELS NACIONALISTES                                                                                                        000177000177000112
07198706000178IU (IPE)                                          IZQUIERDA UNIDA-INICIATIVA PER EUROPA                                                                                                                 000178000178000004
07198706000179EA-PNG-ERC                                        HERRIEN EUROPAREN ALDE-EUROPA DE LOS PUEBLOS                                                                                                          000179000179000108
07198706000180EE (CIP)                                          EUSKADIKO EZQUERRA-IZDA. DE LOS PUEBLOS                                                                                                               000180000180000112
07198706000181PNG-EA-ERC                                        POLA EUROPA DOS POBOS                                                                                                                                 000181000181000108
07198706000182PSG-EG(CIP)                                       ESQUERDA DOS POBOS PSG-EG                                                                                                                             000182000182000112
