071987061999999000112023TMARIA DEL CORO GARMENDIA GALVETE                                            000000000000000000N
071987061999999000112024TRAFAEL VICTOR MARTINEZ CASTRO                                               000000000000000000N
071987061999999000112025TCASIMIR IGLESIAS I RODRIGUEZ                                                000000000000000000N
071987061999999000112026TJORDI TOLRA I MABILON                                                       000000000000000000N
071987061999999000112027TPERE SAMPOL MAS                                                             000000000000000000N
071987061999999000112028TANA MARIA BANDRES ZAMACONA                                                  000000000000000000N
071987061999999000112029TXOSE DIAZ DIAZ                                                              000000000000000000N
071987061999999000112030TENRIC CAPILLA I MONZONIS                                                    000000000000000000N
071987061999999000112031TOCTAVI JULIA I ARCUSA                                                       000000000000000000N
071987061999999000112032TANDREU OLIVER OLIVER                                                        000000000000000000N
071987061999999000112033TKEPA AULESTIA URRUTIA                                                       000000000000000000N
071987061999999000112034TMARIA JESUS DIAZ SANCHEZ                                                    000000000000000000N
071987061999999000112035TRAIMON GALIANA I ARAGON                                                     000000000000000000N
071987061999999000112036TANTONI MORRAL I BERENGUER                                                   000000000000000000N
071987061999999000112037TANTONI SANSO SERVERA                                                        000000000000000000N
071987061999999000112038TROBERTO LERCHUNDI BARAÑANO                                                  000000000000000000N
071987061999999000112039TJOSE BLANCO RODRIGUEZ                                                       000000000000000000N
071987061999999000112040TENRIC CASABAN I MOYA                                                        000000000000000000N
071987061999999000112041TCARME BERTRAN I GONZALEZ                                                    000000000000000000N
071987061999999000112042TJOSE MARIA SOLCHAGA HERRERA                                                 000000000000000000N
071987061999999000112043TJUAN TRABA DIAZ                                                             000000000000000000N
071987061999999000112044TMARIA JOSEP SIMBOR I ROIG                                                   000000000000000000N
071987061999999000112045TMAGDA ORANICH I SOLAGRAN                                                    000000000000000000N
071987061999999000112046TJOSE MARIA LARA FERNANDEZ                                                   000000000000000000N
071987061999999000112047TFRANCISCO GONZALEZ VIEITEZ                                                  000000000000000000N
071987061999999000112048TFELIP SOLE I SABARIS                                                        000000000000000000N
071987061999999000112049TMARIA TERESA PASCUAL BONIS                                                  000000000000000000N
071987061999999000112050TFRANCISCO VILLANUEVA GONZALEZ                                               000000000000000000N
071987061999999000112051TAVEL-LI ARTIS GENER                                                         000000000000000000N
071987061999999000112052TMARTIN AUZMENDI AYERBE                                                      000000000000000000N
071987061999999000112053TANTONIO COSTA RICO                                                          000000000000000000N
071987061999999000112054TIGONE ARTEAGABEITIA CHAVARRI                                                000000000000000000N
071987061999999000112055TALBINO PRADA BLANCO                                                         000000000000000000N
071987061999999000112056TPABLO-ANGEL RUIZ DE GORDEJUELA URQUIJO                                      000000000000000000N
071987061999999000112057TROSA MARIA BELLO SOTO                                                       000000000000000000N
071987061999999000112058TPERE VALLS RECASENS                                                         000000000000000000N
071987061999999000112059TJORDI TORRADES I ALADREN                                                    000000000000000000N
071987061999999000112060TMARIA LUISA CARASUSAN UNCITI                                                000000000000000000N
071987061999999000113001TLUIS ARTURO VAN DEN EYNDE CERUTI                                            000000000000000000N
071987061999999000113002TMARIA ANGELS TOMAS GONZALO                                                  000000000000000000N
071987061999999000113003TMARTIN PRETEL GARRIDO                                                       000000000000000000N
071987061999999000113004TMARTA EEK COMAS                                                             000000000000000000N
071987061999999000113005TMIGUEL SALAS YEBRA                                                          000000000000000000N
071987061999999000113006TNURIA MARTI SATO                                                            000000000000000000N
071987061999999000113007TALFONSO BECH PEIRO                                                          000000000000000000N
071987061999999000113008TANA MARIA CALAF PUEYO                                                       000000000000000000N
071987061999999000113009TVICENTE BALLESTER PALLAROL                                                  000000000000000000N
071987061999999000113010TANNA CARBONELL CURELL                                                       000000000000000000N
071987061999999000113011TVICTOR GARCIA GONZALEZ                                                      000000000000000000N
071987061999999000113012TMARIA DEL CARMEN BAUTISTA PALOMARES                                         000000000000000000N
071987061999999000113013TFERMIN ROMAN ALAMIN                                                         000000000000000000N
071987061999999000113014TDOLORES BOGUERO PALMA                                                       000000000000000000N
071987061999999000113015TSANTIAGO DE ALEGRIA SANCHEZ-CABEZUDO                                        000000000000000000N
071987061999999000113016TMARIA DEL CARMEN SANSA ALBERT                                               000000000000000000N
071987061999999000113017TLUIS JIMENEZ FERNANDEZ                                                      000000000000000000N
071987061999999000113018TMIGUEL ANGEL GONZALEZ CANALEJO                                              000000000000000000N
071987061999999000113019TLUIS LARA HURTADO                                                           000000000000000000N
071987061999999000113020TROSARIO PINEDA CASADEMONT                                                   000000000000000000N
071987061999999000113021TABEL RODRIGUEZ CALLEJO                                                      000000000000000000N
071987061999999000113022TCRISTINA ALVAREZ ROSENDE                                                    000000000000000000N
071987061999999000113023TALBERTO MARTI SATO                                                          000000000000000000N
071987061999999000113024TMARIA ISABEL MARTINEZ SORIANO                                               000000000000000000N
071987061999999000113025TANTONIO JESUS RUIZ MEDINA                                                   000000000000000000N
071987061999999000113026TINES GIRBAU COSTA                                                           000000000000000000N
071987061999999000113027TJUAN EGUREN LONGAN                                                          000000000000000000N
071987061999999000113028TEMERITA ARBONES SARRIAS                                                     000000000000000000N
