07198706101189Granada                                           00783265006510056969300567208000000000000000000167432002915680000228500004924003716930000000000000000000000N
07198706102449Teruel                                            00149423003110012061400120614000000000000000000042564000719340000138100000942000832550000000000000000000000N
07198706102509Zaragoza                                          00824778011170063954400639539000000000000000000224352003773300000544700005663004324580000000000000000000000N
07198706105359Las Palmas                                        00751269007790051570400515684000000000000000000117735002391830000482400005250003279580000000000000000000000N
07198706111999Galicia                                           02844472032820218517102184433000000000000000000558557010781330001449200016125012172020000000000000000000000N
07198706102229Huesca                                            00210094003520016843100168431000000000000000000058782000989190000158100001670001145990000000000000000000000N
07198706107999Castilla - La Mancha                              01675715021280126048701259083000000000000000000461564007552480000904000011169009272550000000000000000000000N
07198706108429Soria                                             00097734002360007856600078827000000000000000000029917000469110000089000001681000533030000000000000000000000N
07198706118519Ceuta                                             00065151000520003749300037280000000000000000000009362000166160000032600000382000198100000000000000000000000N
07198706102999Aragón                                            01184295017800092858900928584000000000000000000325698005481830000840900008275006303120000000000000000000000N
07198706108349Palencia                                          00189433003080014702400147381000000000000000000052561000931830000151300001542001085070000000000000000000000N
07198706110069Badajoz                                           00666053007410049027700490277000000000000000000184344002870570000284900003651003558220000000000000000000000N
07198706114019Álava                                             00267728003160019754600197309000000000000000000063570001086700000162000001375001319490000000000000000000000N
07198706101239Jaén                                              00646849006650047098600470986000000000000000000155425002570170000159600003509003440200000000000000000000000N
07198706103339Asturias                                          01112186013990087431000874287000000000000000000280391004841920000545700007803005704250000000000000000000000N
07198706108059Ávila                                             00181917003100014358900143541000000000000000000057938000934620000101400001262001073760000000000000000000000N
07198706119999Ciudad de Melilla                                 00052388000420003030300030303000000000000000000008581000149360000016500000273000185430000000000000000000000N
07198706105389Santa Cruz de Tenerife                            00715122007060048709200488362000000000000000000113248002340960000201600002655002779740000000000000000000000N
07198706108499Zamora                                            00222006003860017879700179155000000000000000000070535001144300000182900002341001271740000000000000000000000N
07198706111159La Coruña                                         01109788012840085651500856521000000000000000000212929004083860000601400006801004829700000000000000000000000N
07198706116999La Rioja                                          00260024004010020173700201738000000000000000000076902001226760000206000001983001416800000000000000000000000N
07198706101419Sevilla                                           01540907016790109327001093270000000000000000000310160005183190000428500008045007206560000000000000000000000N
07198706106999Cantabria                                         00522664004940039504300395043000000000000000000127440002501410000347200003757002929850000000000000000000000N
07198706108999Castilla y León                                   02582327041500200711702005016000000000000000000738994012399440002080800024750014194540000000000000000000000N
07198706199999Total nacional                                    38473418430392844234828450491000000000000000008899070155732180018972900232872190714970000600000000000000000N
07198706107459Toledo                                            00486194004750036589700365959000000000000000000141858002320880000231800003423002827580000000000000000000000N
07198706108409Segovia                                           00150634002730011717800117338000000000000000000043508000740560000181000001378000848100000000000000000000000N
07198706113319Navarra                                           00515900007980039332600393326000000000000000000133337002269880000465500003575002771760000000000000000000000N
07198706101049Almería                                           00442324004120030956000309560000000000000000000085314001546250000107600002133002013330000000000000000000000N
07198706109439Tarragona                                         00523883006090039461100395299000000000000000000121658002153390000286600002637002646110000000000000000000000N
07198706111329Orense                                            00429382004960034249700341625000000000000000000092782001694670000206500002233001686860000000000000000000000N
07198706114489Vizcaya                                           01179150012110089601000891770000000000000000000276687004759600000548400006556005812590000000000000000000000N
07198706115999Región de Murcia                                  01006788010730071104300711464000000000000000000222911003947710000417800006181005022620000000000000000000000N
07198706101149Córdoba                                           00747505007420054647500546475000000000000000000186621003006150000228500003902003838620000000000000000000000N
07198706104079Baleares                                          00680933008070050795400507956000000000000000000158430002778500000379600004585003307530000000000000000000000N
07198706101219Huelva                                            00433995004140030853000308765000000000000000000094132001488650000152100001955001905680000000000000000000000N
07198706112999Comunidad de Madrid                               04780572042680352688003515847000000000000000001039724019069840002596000033952023988210000000000000000000000N
07198706114209Guipúzcoa                                         00689222007640052256100522561000000000000000000169518002864670000312800002890003501570000000000000000000000N
07198706115309Murcia                                            01006788010730071104300711464000000000000000000222911003947710000417800006181005022620000000000000000000000N
07198706117039Alicante                                          01217279012290085637300857498000000000000000000296990005048310000498000006727006093970000000000000000000000N
07198706117999Comunitat Valenciana                              03732682037840272732902727844000000000000000000951651016482280001651500021594019929260000000000000000000000N
07198706108379Salamanca                                         00359285005780028227900278949000000000000000000112601001826900000306700005214002030830000000000000000000000N
07198706114999País Vasco                                        02136100022910161611701611640000000000000000000509775008710970001023200010821010633650000000000000000000000N
07198706107169Cuenca                                            00213359003350016777100167803000000000000000000065078001053760000146900001483001254230000000000000000000000N
