071989061010400199ABLA                                                                                                001301300000001731000010000132400001324000000000000000000000416000005560000000100000002000007860000000000000000000N
071989061010400299ABRUCENA                                                                                            001301300000001594000010000119700001197000000000000000000000309000004600000000600000001000006840000000000000000000N
071989061010400399ADRA                                                                                                002902900000019358000170001330000013300000000000000000000002069000030390000001700000031000052160000000000000000000N
071989061010400499ALBANCHEZ                                                                                           005305300000000865000010000071700000717000000000000000000000238000002760000000000000001000003970000000000000000000N
071989061010400599ALBOLODUY                                                                                           001301300000001033000010000077800000778000000000000000000000274000003790000000100000002000004970000000000000000000N
071989061010400699ALBOX                                                                                               005305300000010321000080000622300006223000000000000000000001195000018020000001100000024000031920000000000000000000N
071989061010400799ALCOLEA                                                                                             001301300000000871000010000067700000677000000000000000000000193000002860000000200000003000004300000000000000000000N
071989061010400899ALCONTAR                                                                                            005305300000000698000020000055200000552000000000000000000000137000002030000000200000001000003550000000000000000000N
071989061010400999ALCUDIA DE MONTEAGUD                                                                                001301300000000218000010000017300000173000000000000000000000056000000720000000000000000000001050000000000000000000N
071989061010401099ALHABIA                                                                                             001301300000000885000010000062800000628000000000000000000000245000003180000000000000007000004320000000000000000000N
071989061010401199ALHAMA DE ALMERIA                                                                                   001301300000003068000030000220800002208000000000000000000000578000008820000000100000008000014980000000000000000000N
071989061010401299ALICUN                                                                                              001301300000000243000010000019100000191000000000000000000000075000001150000000000000003000001540000000000000000000N
071989061010401399ALMERIA                                                                                             001301300000153592001180011066000110660000000000000000000023143000342530000040900000486000536760000000000000000000N
071989061010401499ALMOCITA                                                                                            001301300000000217000010000018500000185000000000000000000000041000000660000000200000004000001070000000000000000000N
071989061010401599ALSODUX                                                                                             001301300000000125000010000011200000112000000000000000000000029000000440000000000000001000000790000000000000000000N
071989061010401699ANTAS                                                                                               010010000000002541000030000187600001876000000000000000000000293000004610000000500000016000009730000000000000000000N
071989061010401799ARBOLEAS                                                                                            005305300000001513000010000117800001178000000000000000000000279000004100000000100000002000006380000000000000000000N
071989061010401899ARMUÑA DE ALMANZORA                                                                                 005305300000000343000010000028000000280000000000000000000000071000001220000000000000000000001870000000000000000000N
071989061010401999BACARES                                                                                             005305300000000342000010000027900000279000000000000000000000094000001390000000100000001000001930000000000000000000N
071989061010402099BAYARCAL                                                                                            001301300000000447000010000031800000318000000000000000000000043000000860000000100000000000001570000000000000000000N
071989061010402199BAYARQUE                                                                                            005305300000000254000010000021300000213000000000000000000000045000000680000000000000000000001290000000000000000000N
071989061010402299BEDAR                                                                                               010010000000000587000010000042600000426000000000000000000000105000001460000000000000000000002180000000000000000000N
071989061010402399BEIRES                                                                                              001301300000000171000010000013800000138000000000000000000000032000000470000000000000000000000790000000000000000000N
071989061010402499BENAHADUX                                                                                           001301300000002016000020000147600001476000000000000000000000382000005510000000300000008000009220000000000000000000N
071989061010402699BENITAGLA                                                                                           001301300000000125000010000010100000101000000000000000000000019000000220000000000000000000000380000000000000000000N
071989061010402799BENIZALON                                                                                           001301300000000448000010000031800000318000000000000000000000042000000640000000000000002000001120000000000000000000N
071989061010402899BENTARIQUE                                                                                          001301300000000348000010000027600000276000000000000000000000131000001540000000000000000000002070000000000000000000N
071989061010402999BERJA                                                                                               002902900000011533000120000839400008394000000000000000000001739000026340000001400000031000048340000000000000000000N
071989061010403099CANJAYAR                                                                                            001301300000002205000030000163700001637000000000000000000000546000006550000000200000003000008860000000000000000000N
071989061010403199CANTORIA                                                                                            005305300000003406000030000258600002586000000000000000000000660000009270000000000000008000015010000000000000000000N
071989061010403299CARBONERAS                                                                                          010010000000005602000050000365000003650000000000000000000000803000010530000000800000011000020180000000000000000000N
071989061010403399CASTRO FILABRES                                                                                     001301300000000160000010000013500000135000000000000000000000018000000330000000000000000000000510000000000000000000N
071989061010403499COBDAR                                                                                              001301300000000305000010000025000000250000000000000000000000082000001000000000000000000000001640000000000000000000N
071989061010403599CUEVAS DEL ALMANZORA                                                                                010010000000009070000070000644100006441000000000000000000001438000022870000001400000022000037590000000000000000000N
071989061010403699CHERCOS                                                                                             005305300000000369000010000027900000279000000000000000000000093000001290000000000000000000001950000000000000000000N
071989061010403799CHIRIVEL                                                                                            005305300000002056000020000164000001640000000000000000000000445000006430000000500000005000008380000000000000000000N
071989061010403899DALIAS                                                                                              002902900000003625000050000266800002668000000000000000000000661000009710000001000000019000015210000000000000000000N
071989061010403999DARRICAL                                                                                            002902900000000388000010000034000000340000000000000000000000059000000730000000100000000000001120000000000000000000N
071989061010404199ENIX                                                                                                001301300000000240000010000018700000187000000000000000000000068000000850000000000000000000001230000000000000000000N
071989061010404399FELIX                                                                                               001301300000000685000010000052500000525000000000000000000000214000002720000000300000002000003620000000000000000000N
071989061010404499FINES                                                                                               005305300000001549000010000112800001128000000000000000000000302000004400000000200000003000007170000000000000000000N
071989061010404599FIÑANA                                                                                              001301300000002792000030000210300002103000000000000000000000613000008210000000700000015000011970000000000000000000N
071989061010404699FONDON                                                                                              001301300000001031000010000081100000811000000000000000000000226000002660000000000000000000004350000000000000000000N
