07199406000001EU                                                PARTIDO REGIONALISTA EXTREMADURA UNIDA                                                                                                                000001000001000001
07199406000002CN                                                COALICION NACIONALISTA (EAJ-PNV,CC,UV,PAR,CG,UM)                                                                                                      000002000002000002
07199406000004IU                                                IZQUIERDA UNIDA                                                                                                                                       000004000004000004
07199406000005PAS                                               PARTIU ASTURIANISTA                                                                                                                                   000005000005000005
07199406000006PLN                                               PARTIDO DE LA LEY NATURAL                                                                                                                             000006000006000006
07199406000007PEP                                               POR LA EUROPA DE LOS PUEBLOS-EA,ERC,ACC,ENE,TC,PNC                                                                                                    000007000007000007
07199406000008BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000008000008000008
07199406000009FEI                                               FALANGE ESPAÑOLA INDEPENDIENTE                                                                                                                        000009000009000009
07199406000010GV                                                GRUPO VERDE                                                                                                                                           000010000010000010
07199406000012HB                                                HERRI BATASUNA                                                                                                                                        000012000012000012
07199406000013URCL                                              UNIDAD REGIONALISTA DE CASTILLA Y LEON                                                                                                                000013000013000013
07199406000014RUIZ-MATEOS                                       AGRUPACION DE ELECTORES JOSE MARIA RUIZ-MATEOS                                                                                                        000014000014000014
07199406000015PREX                                              PARTIDO REGIONALISTA EXTREMEÑO                                                                                                                        000015000015000015
07199406000016CEC                                               ELS VERDS (CONFEDERACIO ECOLOGISTA DE CATALUNYA)                                                                                                      000016000016000016
07199406000017PCAR                                              PARTIDO CARLISTA                                                                                                                                      000017000017000017
07199406000018CIU                                               CONVERGENCIA I UNIO                                                                                                                                   000018000018000018
07199406000019POR                                               PARTIDO OBRERO REVOLUCIONARIO                                                                                                                         000019000019000019
07199406000020CTC                                               COMUNION TRADICIONALISTA CARLISTA                                                                                                                     000020000020000020
07199406000022PIL                                               PARTIDO DE INDEPENDIENTES DE LANZAROTE                                                                                                                000022000022000022
07199406000023PH                                                PARTIDO HUMANISTA                                                                                                                                     000023000023000023
07199406000024PNC                                               PARTIDO NACIONALISTA CANARIO                                                                                                                          000024000024000024
07199406000025PCPE                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000025000025000025
07199406000026JYB                                               PARTIDO JUSTICIA Y BIENESTAR                                                                                                                          000026000026000026
07199406000027FORO Y CDS                                        COALICION FORO Y CDS                                                                                                                                  000027000027000027
07199406000029PP                                                PARTIDO POPULAR                                                                                                                                       000029000029000029
07199406000030FE-JONS                                           FALANGE ESPAÑOLA DE LAS J.O.N.S                                                                                                                       000030000030000030
07199406000031ADN                                               ALTERNATIVA DEMOCRATA NACIONAL                                                                                                                        000031000031000031
07199406000032LVRM                                              LOS VERDES DE LA REGION DE MURCIA                                                                                                                     000032000032000032
07199406000033PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000033000033000033
07199406000034CPNT                                              CAZA, PESCA, NATURALEZA Y TRADICIONES                                                                                                                 000034000034000034
07199406000035PREPAL                                            PARTIDO REGIONALISTA DEL PAIS LEONES                                                                                                                  000035000035000035
07199406000036PA-PAP                                            COALICION ANDALUCISTA PODER ANDALUZ                                                                                                                   000036000036000036
