07200906000001iF                                                INICIATIVA FEMINISTA                                                                                                                                  000001000001000001
07200906000002CEU                                               COALICIÓN POR EUROPA                                                                                                                                  000002000002000002
07200906000003SAIn                                              SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA                                                                                                           000003000003000003
07200906000004PSA                                               PARTIDO SOCIALISTA DE ANDALUCÍA                                                                                                                       000004000004000004
07200906000005FE de las JONS                                    FALANGE ESPAÑOLA DE LAS JONS                                                                                                                          000005000005000005
07200906000006Edp-V                                             EUROPA DE LOS PUEBLOS-VERDES                                                                                                                          000006000006000006
07200906000007IZAN-RG                                           IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL                                                                                                              000007000007000007
07200906000008PP                                                PARTIDO POPULAR                                                                                                                                       000008000008000008
07200906000009EXTREMADURA UNIDA                                 EXTREMADURA UNIDA                                                                                                                                     000009000009000009
07200906000010CDL                                               CENTRO DEMOCRÁTICO LIBERAL                                                                                                                            000010000010000010
07200906000011UV                                                UNIO VALENCIANA                                                                                                                                       000011000011000011
07200906000012PFyV                                              PARTIDO FAMILIA Y VIDA                                                                                                                                000012000012000012
07200906000013UCL                                               UNIÓN CENTRISTA LIBERAL                                                                                                                               000013000013000013
07200906000014RC                                                PARTIT REPUBLICÀ CATALÀ                                                                                                                               000014000014000014
07200906000015PCPE                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000015000015000015
07200906000017UPyD                                              UNIÓN PROGRESO Y DEMOCRACIA                                                                                                                           000017000017000017
07200906000018AES                                               ALTERNATIVA ESPAÑOLA                                                                                                                                  000018000018000018
07200906000019FA                                                FALANGE AUTÉNTICA                                                                                                                                     000019000019000019
07200906000020PUM+J                                             POR UN MUNDO MÁS JUSTO                                                                                                                                000020000020000020
07200906000021IU-ICV-EUiA-BA                                    IZQUIERDA UNIDA-INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA-BLOQUE POR ASTURIES: LA IZQUIERDA                                         000021000021000021
07200906000022PREPAL                                            SALAMANCA-ZAMORA-LEÓN                                                                                                                                 000022000022000022
07200906000023CDS                                               CENTRO DEMOCRÁTICO Y SOCIAL                                                                                                                           000023000023000023
07200906000024LIBERTAS                                          LIBERTAS-CIUDADANOS DE ESPAÑA                                                                                                                         000024000024000024
07200906000025LV-GVE                                            LOS VERDES-GRUPO VERDE EUROPEO                                                                                                                        000025000025000025
07200906000026FN                                                FRENTE NACIONAL                                                                                                                                       000026000026000026
07200906000027PACMA                                             PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL                                                                                                         000027000027000027
07200906000028PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000028000028000028
07200906000029MSR                                               MOVIMIENTO SOCIAL REPUBLICANO                                                                                                                         000029000029000029
07200906000030UNA                                               UNIDÁ NACIONALISTA ASTURIANA                                                                                                                          000030000030000030
07200906000031II                                                INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS                                                                                       000031000031000031
07200906000032DN                                                DEMOCRACIA NACIONAL                                                                                                                                   000032000032000032
07200906000034UCE                                               UNIFICACIÓN COMUNISTA DE ESPAÑA                                                                                                                       000034000034000034
07200906000035POSI                                              PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA                                                                                                           000035000035000035
07200906000036AA                                                ANDECHA ASTUR                                                                                                                                         000036000036000036
07200906000037PH                                                PARTIDO HUMANISTA                                                                                                                                     000037000037000037
07200906000041LV-GVE                                            BERDEAK-EUROPAR TALDE BERDEA-LOS VERDES-GRUPO VERDE EUROPEO                                                                                           000041000041000025
07200906000042BLOC                                              BLOC NACIONALISTA VALENCIÀ-COALICIÓ PER EUROPA                                                                                                        000042000042000002
07200906000043BNG                                               BLOQUE NACIONALISTA GALEGO (EUROPA DOS POBOS-VERDES)                                                                                                  000043000043000006
