0919830514716800022402105EDUARDO                  MARTIN                   SALGADO                                     024S
0919830514716800022402105ANTONIO                  CASADO                   SALGADO                                     013S
0919830514716800030900600JOSE                     FERANDO                  PINACHO                                     006N
0819830514716900022404205SAMUEL                   CASADO                   BELTRAN                                     044S
0819830514716900022404205JOSE MARIA               BELTRAN                  CASADO                                      047S
0819830514716900022404205JOSE ANTONIO             CASADO                   NIETO                                       030S
0819830514716900022404205JAVIER ESCUDERO          DE LA                    FUENTE                                      010S
0819830514716900022404205ACIMBINO ESCUDERO        DE LA                    FUENTE                                      037S
0819830514716900030900300JUAN CARLOS              MARTIN                   RIBOTE                                      003N
0919830514717000022401701PEDRO DE                 LA FUENTE                SANZ                                        001N
0919830514717000022401701PABLO                    ARRANZ                   PALOMAR                                     034S
0919830514717000022401701LUIS ESTEBAN             MARTIN                   ARRIBAS                                     000N
0919830514717000022401701JOSE                     MARTIN                   ARRIBAS                                     033N
0919830514717000030900800MANUEL                   VAZQUEZ                  HERRERA                                     008N
0919830514717000063404704MIGUEL ANGEL             DE LA                    FUENTE SANZ                                 047S
0919830514717000063404704JUSTO DE                 LA FUENTE                ARRANZ                                      036S
0919830514717000063404704JESUS                    ARRIBAS                  VEGANZONES                                  034S
0919830514717000063404704HERMOGENES DE            LA FUENTE                MARTIN                                      031N
0919830514717000063404704ANGEL DE                 LA FUENTE                PAUL                                        041S
0819830514717200022404701PABLO                    PASCUAL                  BAYON                                       032N
0819830514717200022404701JOSE MARIA               MARTIN                   PASCUAL                                     041N
0819830514717200022404701EUSEBIO                  HERGUEDAS                LOPEZ                                       019N
0819830514717200022404701EDUARDO                  MENDEZ                   MONTALVILLO                                 037N
0819830514717200022404701ALBERTO                  GONZALEZ                 VILLALBA                                    060S
0819830514717200026306104TEOTISTA                 CARRETERO                SANTOS                                      042N
0819830514717200026306104LAMBERTO SANTOS          DE                       FRUTO                                       063S
0819830514717200026306104JESUS                    PASCUAL                  MARTIN                                      050S
0819830514717200026306104JAVIER                   MINGUELA                 PASCUAL                                     049S
0819830514717200026306104FELICITO                 VILLAR                   LOPEZ                                       043S
0819830514717200030900500MARIANO LUIS             DE                       CASTRO                                      005N
0819830514718000030901000MARIANO                  GARCIA                   CALVO                                       010N
0819830514718000063405205UBALDO                   DIEZ                     CALVO                                       047S
0819830514718000063405205MARIA SOCORRO            AGUADO                   AGUADO                                      032S
0819830514718000063405205JUAN CARLOS              AGUADO                   RUIZ                                        058S
0819830514718000063405205DOMICIANNO               AGUADO                   BOMBIN                                      040S
0819830514718000063405205BERNARDINO               LOPEZ                    AGUADO                                      033S
0819830514718500022403402SERGIO                   COCHO                    MARTIN                                      034S
0819830514718500022403402FRANCISCO                RODRIGUEZ                RODRIGUEZ                                   019N
0819830514718500022403402AUXIBIO                  CARRANZA                 DELGADO                                     041S
0819830514718500022403402ANTONIO                  BLANCO                   GONZALEZ                                    026N
0819830514718500022403402ADOLFO                   LUCAS                    QUINTANA                                    017N
0819830514718500063403703PAULINO BLANCO           DE LA                    FUENTE                                      042S
0819830514718500063403703JULIAN                   AGUILAR                  ASENSIO                                     030S
0819830514718500063403703JOSE LUIS                LUCAS                    GUERRA                                      025N
0819830514718500063403703JAIME                    FUENTES                  RODRIGUEZ                                   016N
0819830514718500063403703ARACELI SAN              JOSE                     NIETO                                       035S
0819830514718700022404200MARIA TERESA             GARCIA                   GATON                                       004N
0819830514718700022404200JUAN BAUTISTA            ROJO                     VALVERDE                                    042N
0819830514718700022404200DELFINO                  VALVERDE                 PEREZ                                       042N
0819830514718700022404200CAYETANO AGUSTIN         MARTINEZ                 RODRIGUEZ                                   042N
0819830514718700022404200CARMEN MONCADA           DE                       VALDES                                      041N
0819830514718700030911205VICENTE                  PEREZ                    GREDOS                                      102S
0819830514718700030911205TIRSO                    LERA                     ALAEZ                                       082S
0819830514718700030911205TEOFILO                  HERRERO                  MORO                                        090S
0819830514718700030911205PACIANO RAFAEL           LORA                     MORO                                        090S
