101987061094316199VALLS                                                                                               016116100000052923000790004122300041223000000000000000000000000000000000000076500000550000278120030000000000000000N
101987061082411599PONFERRADA                                                                                          011511500000159159002190011883500118835000000000000000000000000000000000000076000001319000780730080000000000000000N
101987061174625099VALENCIA                                                                                            025025000001260744011890092870200929528000000000000000000000000000000000000733100009711006616040190000000000000000N
101987061083407299FRECHILLA                                                                                           007207200000010850000310000888400008884000000000000000000000000000000000000003300000114000071860010000000000000000N
101987061011405299PEÑARROYA-PUEBLONUEVO                                                                               005205200000045313000520003490500034905000000000000000000000000000000000000022000000307000247540020000000000000000N
101987061090818799SABADELL                                                                                            018718700000365485002800025334900253349000000000000000000000000000000000000198500001472001707070040000000000000000N
101987061090829899VIC                                                                                                 029829800000111090001240008528800085288000000000000000000000000000000000000162800001058000558340010000000000000000N
101987061112701699CHANTADA                                                                                            001601600000040313000530003342400033424000000000000000000000000000000000000007100000132000202870020000000000000000N
101987061011101299CADIZ                                                                                               001201200000155299001050011063100110631000000000000000000000000000000000000072600001437000591130050000000000000000N
101987061083405699CERVERA DE PISUERGA                                                                                 005605600000034889000530002771600027716000000000000000000000000000000000000025800000364000196180050000000000000000N
101987061011814799ORGIVA                                                                                              014714700000054221000710004149200041492000000000000000000000000000000000000035300000292000288140020000000000000000N
101987061090802299BERGA                                                                                               002202200000050373000740003997500039975000000000000000000000000000000000000040100000420000288780010000000000000000N
101987061092512099LLEIDA                                                                                              012012000000166194001710012837400128374000000000000000000000000000000000000121900000718000832370120000000000000000N
101987061100615899ZAFRA                                                                                               015815800000062328000760004676200046762000000000000000000000000000000000000031500000377000363920030000000000000000N
101987061022212599HUESCA                                                                                              012512500000075360001240005973900059739000000000000000000000000000000000000092800000845000405920090000000000000000N
101987061074516599TALAVERA DE LA REINA                                                                                016516500000130650001540009875200098752000000000000000000000000000000000000074200001329000738990070000000000000000N
101987061011405499POZOBLANCO                                                                                          005405400000044653000440003477500034775000000000000000000000000000000000000014000000233000274900010000000000000000N
101987061092524399VIELHA E MIJARAN                                                                                    024324300000006043000140000481100004811000000000000000000000000000000000000004400000027000029340010000000000000000N
