10199906101049ALMERIA                                           00505448006280040343400403370000015180000000000000000000000000000302200001847002588300000270000000000000000S
10199906101119CADIZ                                             01107484012390086312100863121000009400000000000000000000000000000651900003695005103230000310000000000000000S
10199906101149CORDOBA                                           00767175008690061303200613032000001210000000000000000000000000000510800003262004255930000270000000000000000S
10199906101189GRANADA                                           00801177010530067549600675440000010400000000000000000000000000000720500004459004404910000270000000000000000S
10199906101219HUELVA                                            00453958005140036761800367619000003090000000000000000000000000000283400001771002395590000250000000000000000S
10199906101239JAEN                                              00645792008710052069200520692000001180000000000000000000000000000473900003907003649970000270000000000000000S
10199906101299MALAGA                                            01240580014040100250701002438000092650000000000000000000000000000876500004060005957700000310000000000000000S
10199906101419SEVILLA                                           01714845022160138831801388318000005720000000000000000000000000001464600006583008532740000310000000000000000S
10199906102229HUESCA                                            00204956004160017843600178395000001770000000000000000000000000000316300001598001163780000250000000000000000S
10199906102449TERUEL                                            00136840003350011805800117945000000470000000000000000000000000000203300001174000810280000250000000000000000S
10199906102509ZARAGOZA                                          00841438013980072075500720740000004320000000000000000000000000000972200003560004416730000270000000000000000S
10199906107029ALBACETE                                          00358597005400029185200291852000000950000000000000000000000000000487400002480002040900000250000000000000000S
10199906107139CIUDAD REAL                                       00479474007130039288000392877000000660000000000000000000000000000562900003581002741680000250000000000000000S
10199906107169CUENCA                                            00199086003670016679300166747000000570000000000000000000000000000239800002077001312590000250000000000000000S
10199906107199GUADALAJARA                                       00159331004620013595800135820000001540000000000000000000000000000266900001491000950250000250000000000000000S
10199906107459TOLEDO                                            00519664006350041943100419437000001830000000000000000000000000000580000004783003174350000270000000000000000S
10199906108059AVILA                                             00167132003630014366200143484000000790000000000000000000000000000324800002707001019420000250000000000000000S
10199906108099BURGOS                                            00344306007990029731300297039000001350000000000000000000000000000805000003544001882370000250000000000000000S
10199906108249LEON                                              00506365007810045048000450853000006360000000000000000000000000000555900003340002909860000270000000000000000S
10199906108349PALENCIA                                          00179623004240015469800154666000000590000000000000000000000000000327100002029001056570000250000000000000000S
10199906108379SALAMANCA                                         00349550006330031388800313545000002100000000000000000000000000000577200003095001995380000250000000000000000S
10199906108409SEGOVIA                                           00145961003070012580100125760000000820000000000000000000000000000365000002340000834760000250000000000000000S
10199906108429SORIA                                             00091390002990007925900079128000000280000000000000000000000000000242700001190000476230000250000000000000000S
10199906108479VALLADOLID                                        00492029007480042359800423389000001610000000000000000000000000000789700003091002764170000250000000000000000S
10199906108499ZAMORA                                            00205201004120018181600181597000001280000000000000000000000000000305200002577001226780000250000000000000000S
10199906109089BARCELONA                                         04666271054460401638804016332000060700000000000000000000000000004143200013154020871760000510000000000000000S
10199906109179GIRONA                                            00543191007420045616500456159000023980000000000000000000000000000717600003494002784100000270000000000000000S
10199906109259LLEIDA                                            00357903005350030998300309886000002200000000000000000000000000000515000002636001939910000250000000000000000S
10199906109439TARRAGONA                                         00580245008310048210300482062000012400000000000000000000000000000635400003488002991510000270000000000000000S
10199906110069BADAJOZ                                           00663803008450053195600531935000001960000000000000000000000000000584600004072003843170000270000000000000000S
10199906110109CACERES                                           00405616005610033968500339664000001700000000000000000000000000000388300002967002497830000250000000000000000S
10199906111159A CORUÑA                                          01106325015010100081301000813000005150000000000000000000000000001002600005268006091260000310000000000000000S
10199906111279LUGO                                              00367751005620033898800338988000002460000000000000000000000000000276100002355002252640000250000000000000000S
10199906111329OURENSE                                           00344170005770034081100340811000010150000000000000000000000000000245100002095002174330000250000000000000000S
10199906111369PONTEVEDRA                                        00906298012090079136800791368000009520000000000000000000000000000880500004869004891160000270000000000000000S
10199906117039ALICANTE                                          01388933018640110553701105514000150610000000000000000000000000001280800006313007307190000310000000000000000S
10199906117129CASTELLON                                         00461712006520038483900384859000008190000000000000000000000000000489400003331002633880000250000000000000000S
10199906117469VALENCIA                                          02172796026090186520401865245000017090000000000000000000000000002127500009894012410910000310000000000000000S
