041999061460250000001013TRAFAEL RIPOLL NAVARRO                                                      M 00000000 00000000S
041999061460250000001014TENRIQUE PEREZ BOADA                                                        M 00000000 00000000S
041999061460250000001015TVICENTE JOSE JURADO SORIANO                                                M 00000000 00000000S
041999061460250000001016TRAMON ISIDRO SANCHIS MANGRIÑAN                                             M 00000000 00000000S
041999061460250000001017TJUAN VICENTE JURADO SORIANO                                                M 00000000 00000000S
041999061460250000001018TALFONSO NOVO BELENGUER                                                     M 00000000 00000000S
041999061460250000001019TEMILIO DEL TORO GALVEZ                                                     M 00000000 00000000S
041999061460250000001020TBEATRIZ SIMON CASTELLETS                                                   F 00000000 00000000S
041999061460250000002001TANA NOGUERA MONTAGUD                                                       F 00000000 00000000S
041999061460250000002002TJOSE LUIS ABALOS MECO                                                      M 00000000 00000000S
041999061460250000002003TRAFAEL RUBIO MARTINEZ                                                      M 00000000 00000000S
041999061460250000002004TMANUEL MORET GOMEZ                                                         M 00000000 00000000S
041999061460250000002005TVICENTA LLORIS VICARIA                                                     F 00000000 00000000S
041999061460250000002006TJUAN SOTO RAMIREZ                                                          M 00000000 00000000S
041999061460250000002007TJOSE SELLES VIDAL                                                          M 00000000 00000000S
041999061460250000002008TCARMEN ESTELLES PALANCA                                                    F 00000000 00000000S
041999061460250000002009TMARIA CONSUELO ORIAS GOZALVO                                               F 00000000 00000000S
041999061460250000002010TRICARDO OLMOS MARI                                                         M 00000000 00000000S
041999061460250000002011TPABLO GIL LOPEZ                                                            M 00000000 00000000S
041999061460250000160001TANTONIO MONTALBAN GAMEZ                                                    M 00000000 00000000S
041999061460250000160002TMANUEL IBAÑEZ MANZANO                                                      M 00000000 00000000S
041999061510001000001001TJESUS CAYETANO FORTES RAMOS                                                M 00000000 00000000S
041999061510001000001002TALFONSO CONEJO RABANEDA                                                    M 00000000 00000000S
041999061510001000001003TCRISTINA MARIA BERNAL DURAN                                                F 00000000 00000000S
041999061510001000001004TISIDRO BERNABE HURTADO DE MENDOZA LOPEZ                                    M 00000000 00000000S
041999061510001000001005TJUAN JESUS VIVAS LARA                                                      M 00000000 00000000S
041999061510001000001006TREGINA MARTA MARIA PIZONES SANCHEZ                                         F 00000000 00000000S
041999061510001000001007TEMILIO CARREIRA RUIZ                                                       M 00000000 00000000S
041999061510001000001008TADELAIDA ALVAREZ RODRIGUEZ                                                 F 00000000 00000000S
041999061510001000002001TFRANCISCO ALBERTO NUÑEZ THOME                                              M 00000000 00000000S
041999061510001000002002TMARIA DEL CARMEN CARRERA FUENTES                                           F 00000000 00000000S
041999061510001000020001TANTONIO SAMPIETRO CASARROMANA                                              M 00000000 00000000S
041999061510001000020002TMANUEL DE LA RUBIA NIETO                                                   M 00000000 00000000S
041999061510001000020003TJUAN CARLOS RIOS CLARO                                                     M 00000000 00000000S
041999061510001000020004TANA MARIA FERNANDEZ BLANCO                                                 F 00000000 00000000S
041999061510001000020005TJESUS SIMARRO MARIN                                                        M 00000000 00000000S
041999061510001000020006TJULIO OSTALE BLANCO                                                        M 00000000 00000000S
041999061510001000020007TDILIP ARJANDAS DARYANANI                                                   M 00000000 00000000S
041999061510001000020008TAURELIO MATA PADILLA                                                       M 00000000 00000000S
041999061510001000020009TJUAN JOSE ROSALES FERNANDEZ                                                M 00000000 00000000S
041999061510001000020010TOLGA GLIANO MENDOZA                                                        F 00000000 00000000S
041999061510001000020011TVICENTE FRANCISCO OLIVER GAYTAN DE AYALA                                   M 00000000 00000000S
041999061510001000020012TFRANCISCO TORRES CANTERO                                                   M 00000000 00000000S
