04200705081097EPB-EPM                                           ENTESA PER BALENYA-ENTESA PEL PROGRES MUNICIPAL                                                                                                       000789000789000789
04200705171643AC                                                ALTERNATIVA CERDANA                                                                                                                                   001643001643001643
04200705171563PPVPM                                             PROGRES PER VILASACRA PROGRES MUNICIPAL                                                                                                               000787000787000270
04200705171564AXC-PM                                            AIGUA VIVA PEL CANVI-PROGRES MUNICIPAL                                                                                                                000787000787000270
04200705171565PIA                                               PARTIT INDEPENDENT D'AIGUA VIVA                                                                                                                       000743000743000743
04200705171566PM                                                UNITAT PER ALBONS-PROGRES MUNICIPAL                                                                                                                   000787000787000270
04200705171567C.A                                               COALICIO PER AMER                                                                                                                                     001567001567001567
04200705171568IA                                                INDEPENDENTS AMER                                                                                                                                     003937003937003937
04200705171569P.P                                               PARTIT POPULAR/PARTIDO POPULAR                                                                                                                        000201000201000201
04200705171570UA-PM                                             UNITAT ARMENTERENCA-PROGRES MUNICIPAL                                                                                                                 000787000787000270
04200705171571PSC-PM                                            PLATAFORMA PROGRESSISTA DE BANYOLES-PARTIT DELS SO                                                                                                    000787000787000270
04200705171572ICV-IB-EPM                                        INICIATIVA PER CATALUNYA VERDS-INDEPENDENTS DE BAN                                                                                                    000789000789000789
04200705171573IPP-PM                                            INDEPENDENTS PEL POBLE-PROGRES MUNICIPAL                                                                                                              000787000787000270
04200705171574PDB-PM                                            PROGRES MUNICIPAL-PROGRES DE BELLCAIRE                                                                                                                000787000787000270
04200705171575GMB-AM                                            GRUP MUNICIPAL DE BELLCAIRE-ACORD MUNICIPAL                                                                                                           000690000690000690
04200705171576IPB-PM                                            INDEPENDENTS PER BESCANO-PROGRES MUNICIPAL                                                                                                            000787000787000270
04200705171577EPB-AM                                            ENTESA PER BESCANO-ACORD MUNICIPAL                                                                                                                    000690000690000690
04200705171578GIPB-PM                                           GRUP INDEPENDENT DE BORDILS-PROGRES MUNICIPAL                                                                                                         000787000787000270
04200705171579GPB-ESQUERR                                       GENT PER BORDILS-ESQUERRA REPUBLICANA DE CATALUNYA                                                                                                    000690000690000690
04200705171580CIU-IDC                                           CONVERGENCIA I UNIO-INDEPENDENTS DE CAMPLLONG                                                                                                         000791000791000791
04200705171581LA                                                L'ALTERNATIVA                                                                                                                                         001581001581001581
04200705171582I CELRA-AM                                        I CELRA-ACORD MUNICIPAL                                                                                                                               000690000690000690
04200705171583EC                                                ENTESA PER CELRA                                                                                                                                      000743000743000743
04200705171584IPC-ICV-EPM                                       INDEPENDENTS PEL PROGRES DE COLOMERS-INICIATIVA PE                                                                                                    000789000789000789
04200705171585IDCDT                                             INDEPENDENTS DE CORNELLA DEL TERRI                                                                                                                    001585001585001585
04200705171586GPVT                                              GENT PER LA VALL DEL TERRI                                                                                                                            001586001586001586
04200705171587E I                                               ESCALENS INDEPENDENTS                                                                                                                                 001587001587001587
