04201105090645AM-PM                                             AIRE NOU-PROGRÉS MUNICIPAL                                                                                                                            003279003279003186
04201105182938P.D.S.C.                                          PARTIDO DEMOCRATICO Y SOCIAL DE CEUTA                                                                                                                 002938002938002938
04201105091051C.U.P.                                            CANDIDATURA D'UNITAT POPULAR                                                                                                                          001051001051001051
04201105140241TB                                                AGRUPACION DE ELECTORES TURTZIOZ BAI                                                                                                                  000241000241000241
04201105172705+A                                                MES ALGEMESI                                                                                                                                          002705002705002705
04201105033795URAS-PAS                                          UNIÓN URAS-PAS                                                                                                                                        003795003795003795
04201105111141CDL                                               CENTRO DEMOCRATICO LIBERAL                                                                                                                            001140001140001140
04201105173887VdeB                                              VEÏNS DE BORRIOL                                                                                                                                      003887003887003887
04201105003656U.C. Terrassa                                     UNIO DE CENTRE PER TERRASSA                                                                                                                           003656003656003656
04201105171650ESQUERRA-AM                                       ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ-ACORD MUNICIPAL                                                                                                001645001645001593
04201105000601A.P.I.F.                                          AGRUPACIÓN PROGRESISTA INDEPENDIENTE DE FUNES                                                                                                         000601000601000601
04201105013237P.V.R.E.                                          PARTIDO VECINAL REGIONALISTA                                                                                                                          003237003237003237
04201105173321P.I.P.S.                                          PARTIT INDEPENDENT PER SUECA                                                                                                                          003321003321003321
04201105173334P.P.I.P.V.                                        PARTIT PROGRESISTA INDEPENDENT PER VILAMARXANT                                                                                                        003334003334003334
04201105070194A.E.I.                                            AGRUPACION DE ELECTORES INDEPENDIENTES DE CASAS DE JUAN NUÑEZ                                                                                         000194000194000194
04201105093759UNIM-PSC-PM                                       UNIÓ NOU IMPULS MUNICIPAL- PARTIT DELS SOCIALISTES DE CATALUNYA-PROGRÉS MUNICIPAL                                                                     003279003279003186
04201105000220A. E. M. S.                                       AGRUPACIÓN DE ELECTORES MERINDAD DE SOTOSCUEVA                                                                                                        000220000220000220
04201105093606TCM-E                                             TOTS PER UN CASSÀ MILLOR-ENTESA                                                                                                                       002387002387002387
04201105001706FAVR                                              FEDERACION DE ALTERNATIVAS VEINALS DE RUBI                                                                                                            001706001706001706
04201105093264PSC-PM                                            PARTIT DELS SOCIALISTES DE CATALUNYA - PROGRÉS MUNICIPAL                                                                                              003279003279003186
04201105002938P.D.S.C.                                          PARTIDO DEMOCRATICO Y SOCIAL DE CEUTA                                                                                                                 002938002938002938
04201105000060AEIPM                                             AGRUPACIÒ D'ELECTORS INDEPENDIENTES POR MONTROY                                                                                                       000060000060000060
04201105002266INB                                               INDEPENDIENTES DE NAVALMORAL DE BEJAR                                                                                                                 002266002266002266
04201105012833PA - EP - And                                     PARTIDO ANDALUCISTA - ESPACIO PLURAL ANDALUZ                                                                                                          002831002831002831
04201105000540AISA                                              AGRUPACION INDEPENDIENTE SIERRA DE ALAIZ                                                                                                              000540000540000540
04201105053429POR TENERIFE                                      IZQUIERDA UNIDA-LOS VERDES-SOCIALISTAS-POR TENERIFE                                                                                                   002460002460002453
04201105060564A. MAZCUERRAS INDPTE.                             AGRUPACION MAZCUERRAS INDEPENDIENTE                                                                                                                   000564000564000564
04201105002340I.C.C.                                            INICIATIVA CIUDADANA CIRBONERA                                                                                                                        002340002340002340
04201105002343ICT                                               INICIATIVA CIUDADANA POR LA TRANSPARENCIA                                                                                                             002343002343002343
04201105001124VE-TA                                             CANDIDATURA VECIÑAL DE TABOADELA                                                                                                                      001124001124001124
04201105081472PCAL-CI                                           EL PARTIDO DE CASTILLA Y LEON -CANDIDATURA INDEPENDIENTE                                                                                              001472001472001472
04201105030199A. E. I. LAS REGUERAS                             AGRUPACION DE ELECTORES INDEPENDIENTES DE LAS REGUERAS                                                                                                000199000199000199
04201105093241PACMA                                             PARTIT ANTITAURÍ CONTRA EL MALTRACTE ANIMAL                                                                                                           002876002876002876
04201105073368P.C.d.T.                                          PLATAFORMA CIUDADANA DE TOBARRA                                                                                                                       003368003368003368
04201105091959PM                                                INDEPENDENTS DE LA SELVA DE MAR-PROGRES MUNICIPAL                                                                                                     003279003279003186
04201105093680UCL                                               UNION CENTRISTA LIBERAL                                                                                                                               003680003680003680
04201105123408PPL                                               PLATAFORMA POPULAR LIBERAL                                                                                                                            003408003408003408
04201105000809ARALAR                                            ARALAR                                                                                                                                                000809000809000809
04201105001807GPSB                                              GRUP DE PROGRÉS SÚRIA BAGES                                                                                                                           001807001807001807
04201105093335PRE-IR                                            PARTIT REPUBLICÁ D'ESQUERRA -IZQUIERDA REPUBLICANA                                                                                                    003335003335003335
04201105152675LV - ECOLO                                        LOS VERDES DE LA REGION DE MURCIA - ECOLO VERDES                                                                                                      002676002676002676
04201105123723UPS                                               UNION DEL PUEBLO SANTERO                                                                                                                              003723003723003723
04201105032298PROMUSA                                           INDEPENDIENTES POR EL PROGRESO MUNICIPAL DE SARIEGO                                                                                                   002298002298002298
04201105003823UxC                                               UNITAT PER CASTELLNOU DE BAGES                                                                                                                        003823003823003823
04201105102440IU-V                                              IZQUERDA UNIDA                                                                                                                                        002554002554002453
04201105000258A.D.E.I.-O                                        AGRUPACION DE INDEPENDIENTES DE ORENSE                                                                                                                000258000258000258
04201105000703AdIP                                              ALTERNATIVA INDEPENDENT POBLE                                                                                                                         000703000703000703
04201105082234I.A.Q.                                            INDEPENDIENTES ALFOZ DE QUINTANADUEÑAS                                                                                                                002234002234002234
04201105092017IA-PM                                             INDEPENDENTS PER ALCANÓ-PROGRÉS MUNICIPAL                                                                                                             003279003279003186
04201105093596TVST-AM                                           TORROELLA-VILACOLUM-SANT TOMAS INDEPENDENTS-ACORD MUNICIPAL                                                                                           001593001593001593
04201105003930XD                                                XABIA DEMOCRÁTICA                                                                                                                                     003930003930003930
04201105013531REDABITABLE                                       SEGURA DE LA SIERRA HABITABLE                                                                                                                         003531003531003531
04201105000360AISMH                                             AGRUPACIÓN INDEPEDIENTE DE SANTA MARÍA DE HUERTA                                                                                                      000360000360000360
04201105082233IAP                                               INDEPENDIENTES AGRUPADOS DE PONFERRADA                                                                                                                002233002233002233
04201105000233A. E. SAN ESTEBAN                                 AGRUPACION DE ELECTORES SAN ESTEBAN                                                                                                                   000233000233000233
04201105151163CCCi                                              CIUDADANOS CENTRISTAS CIEZANOS                                                                                                                        001163001163001163
04201105093467PM                                                PROGRÉS MUNICIPAL PEL PINELL - PROGRÉS MUNICIPAL                                                                                                      003279003279003186
04201105142617K.Z.                                              KARRANTZA ZABALA                                                                                                                                      002617002617002617
04201105013955I.U.-LVCA                                         IZQUIERDA UNIDA LOS VERDES CONVOCATORIA POR ANDALUCIA                                                                                                 002521002521002453
04201105012830EP-And                                            PARTIDO ANDALUCISTA - ESPACIO PLURAL ANDALUZ                                                                                                          002831002831002831
04201105000464A.I.S.A.B.                                        AGRUPACIÓN INDEPENDIENTE DE SAN ANTONIO DE BENAGEBER                                                                                                  000464000464000464
04201105000891B-LV                                              BERDEAK-LOS VERDES                                                                                                                                    000891000891000891
04201105091491E. P. M. PUIGPELAT-ENTESA                         ENTESA DE PROGRÉS MUNICIPAL DE PUIGPELAT-ENTESA                                                                                                       002387002387002387
04201105172401C.M.COMPROMÍS                                     INICIATIVA PER RELLEU: COALICIÓ MUNICIPAL COMPROMIS                                                                                                   000990000990000990
04201105112805OV-GV                                             OS VERDES-GRUPO VERDE                                                                                                                                 002805002805002805
04201105012918PABA                                              PARTIDO DE LOS ANEJOS Y BARRIADAS DE ANTEQUERA                                                                                                        002918002918002918
04201105121418DECIDO                                            DECISIÓN CIUDADANA                                                                                                                                    001418001418001418
04201105010850A.P.L.I.                                          ASOCIACION PAZ Y LIBERTAD INDEPENDIENTE                                                                                                               000850000850000850
04201105092021IA-PM                                             INDEPENDENTS PER ALGERRI -PROGRÉS MUNICIPAL                                                                                                           003279003279003186
04201105121871GIV                                               GRUPO INDEPENDIENTE DE VALDILECHA                                                                                                                     001871001871001871
04201105093329P.P.                                              PARTIT POPULAR                                                                                                                                        003076003076003076
04201105001930IMOTZ ELKARTUZ                                    IMOTZ ELKARTUZ                                                                                                                                        001930001930001930
04201105091964IdLP-PM                                           INDEPENDENTS DE LES PLANES D'HOSTOLES-PROGRÉS MUNICIPAL                                                                                               003279003279003186
04201105002273iVi                                               INDEPENDIENTES DE VIVEIRO                                                                                                                             002273002273002273
04201105002620FE                                                LA FALANGE                                                                                                                                            002620002620002620
04201105111140C.D.L.                                            CENTRO DEMOCRÁTICO LIBERAL                                                                                                                            001140001140001140
04201105130288AEA                                               AGRUPACION ELECTORAL ARANARACHE-ARANARATXE                                                                                                            000288000288000288
04201105033186P.S.O.E.                                          PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     003186003186003186
04201105083125P.R.B.                                            PARTIDO REGIONALISTA DE EL BIERZO                                                                                                                     003125003125003125
04201105003032P.I.E.D.                                          PARTIDO INDEPENDIENTE EMPRESARIAL DE DUMBRIA                                                                                                          003032003032003032
04201105110361AIVIC                                             AGRUPACION INDEPENDENTE DE VILARIÑO DE CONSO                                                                                                          000361000361000361
04201105171300VERDES                                            COALICIÓN VERDES Y ECOPACIFISTAS                                                                                                                      001287001287001287
04201105012903P.A.U.T.I.E.                                      PARTIDO DE AUTONOMOS E INDEPENDIENTES ESPAÑOLES                                                                                                       002903002903002903
04201105092629La PAC                                            LA PLATAFORMA ALTERNATIVA CIUTADANA DE DOSRIUS                                                                                                        002629002629002629
04201105160304A.E.I.A.                                          AGRUPACION ELECTORAL INDEPENDIENTE DE ANGUCIANA                                                                                                       000304000304000304
04201105183780UPyD                                              UNION PROGRESO Y DEMOCRACIA                                                                                                                           003780003780003780
04201105130325AEIUB                                             AGRUPACION ELECTORAL INDEPENDIENTE URRAUL BAJO                                                                                                        000325000325000325
04201105002799ORAIN:ORIOKO AUKERA I.                            ORAIN:ORIOKO AUKERA INDEPENDENTEA                                                                                                                     002799002799002799
04201105143940Z.B.                                              ZIERBENA BETI                                                                                                                                         003940003940003940
04201105140899EA-ALTERNATIBA                                    BILDU-EUSKO ALKARTASUNA (EA) /ALTERNATIBA ERAIKITZEN                                                                                                  003979003979003979
04201105140891B-LV                                              BERDEAK-LOS VERDES                                                                                                                                    000891000891000891
04201105091590Esquerra - AM                                     ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL                                                                                                   001593001593001593
04201105172573C.M.COMPROMISO                                    JUNTOS POR SALINAS:COALICIÓN MUNICIPAL COMPROMISO                                                                                                     000990000990000990
04201105091961IC - ESQUERRA - AM                                INDEPENDENTS DEL COLLSACABRA- ESQUERRA REPUBLICANA - Acord Municipal                                                                                  001593001593001593
04201105102555IU-V-SIEX                                         IZQUIERDA UNIDA VERDES SINDICATO INDEPENDIENTE DE EXTREMADURA                                                                                         002554002554002453
04201105000635A.U.P.A.L.                                        AGRUPACION Y UNION PARA EL PROGRESO DE ALMERIA                                                                                                        000635000635000635
04201105001095CIV                                               CANDIDATURA INDEPENDIENTE DE VERTAVILLO                                                                                                               001095001095001095
04201105171474EVPV/LVPV                                         ELS VERDS DEL PAIS VALENCIA/LOS VERDES DEL PAIS VALENCIANO                                                                                            001474001474001474
04201105003704UPMAT                                             UNION DEL PUEBLO DE MATAPOZUELOS                                                                                                                      003704003704003704
04201105000091A.I.G.U.A.                                        AGRUPACIÓ INDEPENDENT GENERAL D'URBANITZACIONS (A.I.G.U.A.)                                                                                           000091000091000091
04201105071211CIVI                                              CIUDADANOS POR VILLARROBLEDO                                                                                                                          001211001211001211
04201105071731F.G.I.                                            FUERTESCUSA GRUPO INDEPENDIENTE                                                                                                                       001731001731001731
04201105030374A.I.C.A.S.                                        AGRUPACION INDEPENDIENTE CASTRILLON ASTURIAS                                                                                                          000374000374000374
04201105041313PSM-ESQUERRA-PSOE-ENTESA                          COALICIO+VILAFRANCA                                                                                                                                   001313001313001313
04201105120694AES                                               ALTERNATIVA ESPAÑOLA                                                                                                                                  000694000694000694
04201105000179A. E. I. POBRA DE BROLLÓN                         AGRUPACION DE ELECTORES INDEPENDIENTE DA POBRA DE BROLLÓN                                                                                             000179000179000179
04201105112317IS                                                INDEPENDIENTES POR SANTISO                                                                                                                            002317002317002317
04201105170803C.M. COMPROMÍS                                    APM-COALICIÓ MUNICIPAL COMPROMÍS                                                                                                                      000990000990000990
042011050027639 SV                                              NOU SANT VICENÇ                                                                                                                                       002763002763002763
04201105080627AVV                                               AGRUPACION VALLE DE VALDELUCIO                                                                                                                        000627000627000627
04201105010267ADIA                                              AGRUPACION DEMOCRATICA INDEPENDIENTE ANDALUCIA                                                                                                        000267000267000267
04201105001663EU-IU                                             ESQUERRA UNIDA-IZQUIERDA UNIDA                                                                                                                        001663001663002453
04201105011880GICAR                                             GRUPO INDEPENDIENTE POR CARBONERAS                                                                                                                    001880001880001880
04201105053780UPyD                                              UNION PROGRESO Y DEMOCRACIA                                                                                                                           003780003780003780
04201105002801O.I.V.                                            ORGANIZACION INDEPENDIENTE VALENCIANA                                                                                                                 002801002801002801
04201105001783G x C                                             GENT PER CABRERA                                                                                                                                      001783001783001783
04201105001168CSLPF                                             CIUDADANOS DE LA POBLA DE FARNALS                                                                                                                     001168001168001168
04201105093472PM                                                PROGRÉS MUNICIPALS PER CAMARLES I LLIGALLOS - PROGRÉS MUNICIPAL                                                                                       003279003279003186
04201105081101CIL                                               Candidatura Independiente Liberal                                                                                                                     001101001101001101
04201105092608Esquerra-RI.Cat-Independents de Sant Just Desvern-Junts per Sant Just - Acord Municipal                                                                                                                 001593001593001593
04201105003937ZAIDE                                             ZARZALEJO AGRUPACION INDEPENDIENTE DE ELECTORES                                                                                                       003937003937003937
