0820190510406800139305701MARÍA DEL CARMEN         MARTÍNEZ                 IMBERNON                 F                  055N
0820190510406800139305701LUIS                     MIRANDA                  ARANDA                   M                  047N
0820190510406800139305701JOSÉ MANUEL              MESAS                    MORALES                  M                  027N
0820190510406800139305701GUILLERMO                MESAS                    MESAS                    M                  057S
0820190510406800139305701EMILIA MARÍA             FERNÁNDEZ                MESAS                    F                  043N
0820190510406800372510904RUBÉN                    MARTÍNEZ                 CEREZO                   M                  107S
0820190510406800372510904MARÍA DEL CARMEN         PÉREZ                    CEREZO                   F                  017N
0820190510406800372510904ISABEL                   NIETO                    MIRANDA                  F                  104S
0820190510406800372510904DAVID                    ESCORIZA                 MARTÍNEZ                 M                  092S
0820190510406800372510904CRISTIAN                 QUERO                    GIL                      M                  117S
0820190510401400139301000ÁNGEL BERNARDO           RAMOS                    GUZMÁN                   M                  009N
0820190510401400139301000NOEMÍ                    FERNÁNDEZ                MORA                     F                  009N
0820190510401400139301000MARÍA DE LOS ÁNGELES     FERNÁNDEZ                SANTIAGO                 F                  002N
0820190510401400139301000MARÍA BELÉN              GONZÁLEZ                 MARTÍNEZ                 F                  015N
0820190510401400139301000LUIS JOSÉ                GUERRERO                 MOYA                     M                  008N
0820190510401400372509905JOSE MANUEL              MIRANDA                  COMPAN                   M                  088S
0820190510401400372509905FRANCISCO                GARCIA                   GARCIA                   M                  085S
0820190510401400372509905FRANCISCO                COMPAN                   BALAGUER                 M                  076S
0820190510401400372509905FRANCISCA DEL PILAR      ALPAÑEZ                  CAZORLA                  F                  070S
0820190510401400372509905FRANCISCA BELEN          QUIRANTES                MARTINEZ                 F                  077S
0820190510401500139300700MARÍA JOSÉ               MARTÍNEZ                 AYALA                    F                  009N
0820190510401500139300700JUAN JOSÉ                RUIZ                     GALAFAT                  M                  006N
0820190510401500139300700ISMAEL                   HERNÁNDEZ                ROMERO                   M                  006N
0820190510401500139300700FRANCISCO JAVIER         ESTEBAN                  GUERRERO                 M                  001N
0820190510401500139300700DAVID                    OLIVA                    COBOS                    M                  007N
0820190510401500372507905NOELIA                   GONZÁLEZ                 CIRERA                   F                  056S
0820190510401500372507905MARÍA TERESA             GARCÍA                   JURADO                   F                  066S
0820190510401500372507905MANUEL NICOLÁS           CUADRA                   GONZÁLEZ                 M                  079S
0820190510401500372507905JUAN RAMÓN               LORENZO                  GARCIA                   M                  060S
0820190510401500372507905JOSÉ MANUEL              GIL                      GARCÍA                   M                  057S
0820190510401900139306901RICARDO                  PASCUAL                  ROMAN                    M                  063N
0820190510401900139306901PEDRO                    LOPEZ                    MARIN                    M                  001N
0820190510401900139306901MIGUEL ANGEL             SOBRINO                  SOLA                     M                  076S
0820190510401900139306901JUAN LUIS                BLANQUEZ                 MEDINA                   M                  063N
0820190510401900139306901DANIEL                   LOPEZ                    SEGURA                   M                  076N
0820190510401900372512804MARIA ISABEL             CARRASCO                 UROZ                     F                  104S
0820190510401900372512804JUAN                     ZAGUIRRE                 GUERRERO                 M                  112S
0820190510401900372512804JOSE                     UROZ                     MELGARES                 M                  061N
0820190510401900372512804JOSE                     SEGURA                   GIMENEZ                  M                  118S
0820190510401900372512804ISABEL                   SEVILLANO                ZAGUIRRE                 F                  117S
0820190510402100139312204ROSA MARIA               CUEVAS                   GARCIA                   F                  111S
0820190510402100139312204RAMON                    MUÑOZ                    JIMENEZ                  M                  025N
0820190510402100139312204JORGE                    DOMENE                   GARCIA                   M                  117S
0820190510402100139312204ANTONIO                  PORDOY                   MUÑOZ                    M                  119S
0820190510402100139312204ALEXANDRA                PEREZ                    SANCHEZ                  F                  118S
0820190510402100372504401SERGIO                   SANCHEZ                  AMATE                    M                  038N
0820190510408000139308704MIGUEL ÁNGEL             LÓPEZ                    ESPINOSA                 M                  001N
0820190510408000139308704FRANCISCO JULIO          TORRES                   MARTÍNEZ                 M                  089S
0820190510408000139308704FRANCISCO                ROQUE                    ABAD                     M                  085S
0820190510408000139308704FELIPE SALVADOR          BERENGUEL                GONZÁLEZ                 M                  087S
0820190510408000139308704ELENA                    TIJERAS                  MARTÍNEZ                 F                  088S
0820190510408000372507901MARÍA DOLORES            GIL                      GARCÍA                   F                  080N
0820190510408000372507901LUIS                     VALVERDE                 GÓMEZ                    M                  005N
0820190510408000372507901JUAN                     MARTÍNEZ                 CASAS                    M                  078N
0820190510408000372507901JOSE MANUEL              MARTÍNEZ                                          M                  081S
0820190510408000372507901ANSELMO                  FUENTES                  ARENAS                   M                  075N
0820190510402100372504401PABLO MANUEL             JUAREZ                   GARCIA                   M                  041N
0820190510402100372504401MARIA DEL MAR            AMERIGO                  FERNANDEZ                F                  046N
0820190510402100372504401JUAN FRANCISCO           GARRE                    SANCHEZ                  M                  003N
0820190510402100372504401ALONSO                   CANO                     SOLER                    M                  049S
0820190510402300139305004MARÍA GÁDOR              MUÑOZ                    MARTÍN                   F                  040S
0820190510402300139305004JESÚS MARÍA              VIZCAÍNO                 DE LA CRUZ               M                  028N
0820190510402300139305004ESTEBAN                  RUIZ                     RUIZ                     M                  041S
0820190510402300139305004CARMEN                   GONZÁLEZ                 GARVÍ                    F                  047S
0820190510402300139305004ANTONIO ROBERTO          BELMONTE                 TRISTÁN                  M                  044S
0820190510402300372503701RAFAEL RICARDO           BARRANCO                 RUÍZ                     M                  041S
0820190510402300372503701MARÍA CONCEPCIÓN         ELDUQUE                  PÉREZ                    F                  034N
0820190510402300372503701MANUEL                   NAVARRO                  LOZANO                   M                  022N
0820190510402300372503701FRANCISCA JESÚS          CORTÉS                   MAESO                    F                  025N
0820190510402300372503701ENCARNACIÓN              LOZANO                   NAVARRO                  F                  028N
0820190510408700139310905RAUL                     GUIRAO                   LIRIA                    M                  096S
0820190510408700139310905MARK STEPHEN             PORTER                                            M                  082S
0820190510408700139310905LUIS                     LIRIA                    MARIN                    M                  092S
0820190510408700139310905JUAN CARLOS              MARTINEZ                 MARTOS                   M                  088S
0820190510408700139310905JESUS                    SANCHEZ                  ARIAS                    M                  080S
0820190510408700372504000YOLANDA                  SOLA                     CUEVAS                   F                  042N
0920190510402600139304003JUAN                     PADILLA                  PADILLA                  M                  039S
0920190510402600139304003JUAN                     MOLINA                   EXPOSITO                 M                  013S
0920190510402600139304003FRANCISCO                PÉREZ                    PRIOR                    M                  028S
0920190510402600372500100MOHAMED AHMED            BAGDAD                   MOHAMED                  M                  000N
0920190510402600372500100JOSE MARIA               GARRIDO                  RAMOS                    M                  001N
0920190510402600372500100CARMEN                   DEL AGUILA               PADILLA                  F                  001N
0820190510402700139313805MARÍA MERCEDES           CARRIQUE                 LÓPEZ                    F                  125S
0820190510402700139313805MARÍA                    REQUENA                  GARCÍA                   F                  101S
0820190510402700139313805EMILIO                   CID                      ALONSO                   M                  139S
0820190510402700139313805ANTONIO                  SUANES                   RUBIO                    M                  073S
0820190510402700139313805ALEJANDRO                CID                      CARRIQUE                 M                  114S
0820190510402700372504000ÁNGEL MIGUEL             RUBIO                    GARCÍA                   M                  046N
0820190510402700372504000RAÚL                     RUBIO                    ALMANSA                  M                  039N
0820190510402700372504000PEDRO                    RUBIO                    JIMÉNEZ                  M                  021N
0820190510402700372504000JORGE                    GUILLÉN                  LARA                     M                  014N
0820190510402700372504000DOLORES DEL CONSUELO     MIRANDA                  GARCÍA                   F                  042N
0820190510408700372504000MARIA VICTORIA           GARCIA                   ESPINOSA                 F                  002N
0820190510408700372504000JULIA                    MARTINEZ                 GARCIA                   F                  040N
0820190510408700372504000JUAN                     CUEVAS                   SAEZ                     M                  043N
0820190510408700372504000DOLORES                  GARBIN                   CLEMENTE                 F                  033N
0820190510402800139306201NICOLAS                  SALMERÓN                 PALAFOX                  M                  060N
0820190510402800139306201MARÍA JOSÉ               BLANES                   VIZCAINO                 F                  062N
0820190510402800139306201JOSÉ MARÍA               RODULFO                  ALCARAZ                  M                  055N
0820190510402800139306201GREGORIO                 GIL                      AYALA                    M                  067S
0820190510402800139306201GEMA                     GALINDO                  MUÑOZ                    F                  005N
0820190510402800372511904MONTSERRAT               ANDRES                   BERBEL                   F                  116S
0820190510402800372511904MODESTO                  MARTÍNEZ                 GALERA                   M                  120S
0820190510402800372511904JUAN FRANCISCO           RAMIREZ                  GIL                      M                  108S
0820190510402800372511904EMILIO                   HERRADA                  AMATE                    M                  114S
0820190510402800372511904ANTONIA                  LEIVA                    SALMERON                 F                  020N
0820190510403300139300400MARÍA DE LA LUZ          RODRÍGUEZ                SEGURA                   F                  003N
0820190510403300139300400JUAN CARLOS              PÉREZ                    SOCÍAS                   M                  003N
0820190510403300139300400JOSÉ FRANCISCO           MARTÍNEZ                 ASENSIO                  M                  003N
0820190510403300139300400JAVIER                   MARTÍNEZ                 CARBALLO                 M                  008N
0820190510403300139300400ANA FRANCISCA            ASENSIO                  SOLER                    F                  002N
0820190510403300372507905JOSÉ RAMÓN               MARTÍNEZ                 PÉREZ                    M                  057S
0820190510403300372507905FRANCISCO                MARTÍNEZ                 SOLA                     M                  071S
0820190510403300372507905EMILIO                   MARTÍNEZ                 NIETO                    M                  060S
0820190510403300372507905CARINA                   RUÍZ                     NIETO                    F                  067S
0820190510403300372507905ANA MARÍA                GALINDO                  RODRÍGUEZ                F                  064S
0820190510403400139309504ÁNGEL                    CAPEL                    SÁNCHEZ                  M                  094S
0820190510403400139309504JOSÉ                     FUENTES                  FERNÁNDEZ                M                  096S
0820190510403400139309504DOMINGO                  MARTÍNEZ                 SÁNCHEZ                  M                  096S
0820190510403400139309504DIEGO                    ALONSO                   CASTILLEJO               M                  094S
0820190510403400139309504ADRIÁN                   FUENTES                  YEPES                    M                  000N
0820190510403400372505001YOLANDA                  PEINADO                  RIZOS                    F                  019N
0820190510403400372505001LEOPOLDO                 CAPEL                    MOLINA                   M                  050N
0820190510403400372505001JUAN                     PEINADO                  MARTÍNEZ                 M                  032N
0820190510403400372505001FRANCISCO                SERRANO                  MOYA                     M                  050N
0820190510403400372505001CRISTOBAL                GARCÍA                   PEINADO                  M                  051S
0820190510405600139311005SERAFINA                 RUIZ                     RUEDA                    F                  097S
0820190510405600139311005ROSALIA DE LA MERCED     MARIN                    GARCIA                   F                  074S
0820190510405600139311005RAMONA                   SOBRINO                  RODRIGUEZ                F                  070S
0820190510405600139311005MARIA TERESA             MEDINA                   RODRIGUEZ                F                  094S
0820190510405600139311005DOLORES                  MORENO                   SOBRINO                  F                  105S
0820190510405600271504600JUAN                     BAEZA                    SEGURA                   M                  053N
