01197612107169Cuenca                                            00225525003180014988400149884000000000000000000000000000000000000212900000228001264200000000012224800004172N
01197612108409Segovia                                           00151200003260010043900100439000000000000000000000000000000000000264200000165000830150000000008094300002072N
01197612117999Comunitat Valenciana                              03397314043250214906902149069000000000000000000000000000000000004874200004749017887220000000174543600043286N
01197612102509Zaragoza                                          00794016011420053718200537182000000000000000000000000000000000001669600001114004391360000000042851200010624N
01197612107459Toledo                                            00468115007090030279400302794000000000000000000000000000000000000505700000528002526800000000023959200013088N
01197612108249León                                              00535210006360035579800355798000000000000000000000000000000000000780800000652002674530000000026179100005662N
01197612114489Vizcaya                                           01154873015390071880600718806000000000000000000000000000000000001988400001005003682180000000035332000014898N
01197612117039Alicante                                          01051852010470064604700646047000000000000000000000000000000000001277700001189005409040000000052858300012321N
01197612101999Andalucía                                         06133476063140362250903622509000000000000000000000000000000000005808300015027028935550000000284033600053219N
01197612102449Teruel                                            00156588003560011206400112064000000000000000000000000000000000000253200000181000945870000000009253100002056N
01197612103999Principado de Asturias                            01102294010880074039400740394000000000000000000000000000000000001498200001336005243430000000050243800021905N
01197612109259Lérida                                            00348359004240023924800239248000000000000000000000000000000000000584000000314001833460000000018050800002838N
01197612105359Las Palmas                                        00641707005720035169500351695000000000000000000000000000000000000663400001023002870280000000028245900004569N
01197612105389Santa Cruz de Tenerife                            00662290009250038908600389086000000000000000000000000000000000000464400000330002596970000000025516700004530N
01197612114019Álava                                             00237473001800014759000147590000000000000000000000000000000000000572300000347001068820000000010381600003066N
01197612114209Guipúzcoa                                         00679754006400041148900411489000000000000000000000000000000000000998900000857001753550000000017036300004992N
01197612117469Valencia                                          01935343028380121502301215023000000000000000000000000000000000003090100003163010065350000000098024000026295N
01197612101189Granada                                           00742975006620043436400434364000000000000000000000000000000000000584800000796003596050000000035331900006286N
01197612101299Málaga                                            00915705008600052757500527575000000000000000000000000000000000000875000000878004210950000000041267600008419N
01197612107029Albacete                                          00333393003560020381500203815000000000000000000000000000000000000296800000236001669110000000016247900004432N
01197612109439Tarragona                                         00480331005680031792700317927000000000000000000000000000000000000718800000412002421130000000023788200004231N
01197612110999Extremadura                                       01081219011000067590200675902000000000000000000000000000000000000976500001031005432370000000053217000011067N
01197612112289Madrid                                            04319904056500261240202612402000000000000000000000000000000000007151000007714019639340000000188363000080304N
01197612101419Sevilla                                           01378543016210082541900825419000000000000000000000000000000000001573300009689006373810000000062697500010406N
01197612108349Palencia                                          00186763003350012295600122956000000000000000000000000000000000000320200000151000990430000000009569200003351N
01197612108479Valladolid                                        00450435006710028410600284106000000000000000000000000000000000001042400000972002255350000000021652600009009N
01197612111369Pontevedra                                        00844615008190052959800529598000000000000000000000000000000000000906000000964003707600000000036227900008481N
01197612115309Murcia                                            00881340006090054060200540602000000000000000000000000000000000000749900000699004372970000000042725100010046N
01197612101049Almería                                           00388492004640023490600234906000000000000000000000000000000000000266300000306001870150000000018409100002924N
01197612106999Cantabria                                         00490997005710028250600282506000000000000000000000000000000000000728900000529002131490000000019833700014812N
01197612107199Guadalajara                                       00140856003340009589700095897000000000000000000000000000000000000197300000139000785020000000007493800003564N
01197612108379Salamanca                                         00356549005460023275900232759000000000000000000000000000000000000632000000326001907300000000018720500003525N
01197612108499Zamora                                            00234510004710015883800158838000000000000000000000000000000000000504900000479001298670000000012633900003528N
01197612109179Gerona                                            00441806005010029454500294545000000000000000000000000000000000000893100000509002334720000000022932700004145N
01197612113999Comunidad Foral de Navarra                        00486718007620031879700318797000000000000000000000000000000000000943900000646002246450000000021787900006766N
01197612101219Huelva                                            00402973003350024891100248911000000000000000000000000000000000000361100000667001995140000000019681700002697N
01197612107999Castilla - La Mancha                              01652749023120105298501052985000000000000000000000000000000000001698700001664008733440000000084028600033058N
01197612108099Burgos                                            00350915009000023090800230908000000000000000000000000000000000000715800000475001830160000000017650800006508N
01197612110109Cáceres                                           00432102004320027165200271652000000000000000000000000000000000000390400000323002162450000000021211200004133N
01197612111279Lugo                                              00410686006810029583300295833000000000000000000000000000000000000605700000869002014600000000019734200004118N
01197612117129Castellón                                         00410119004400028799900287999000000000000000000000000000000000000506400000397002412830000000023661300004670N
01197612111159La Coruña                                         01059757009680070512900705129000000000000000000000000000000000001204300001161004846340000000047547300009161N
01197612118519Ceuta                                             00060198000480003066700030667000000000000000000000000000000000000045500000056000250110000000002407900000932N
01197612103339Oviedo                                            01102294010880074039400740394000000000000000000000000000000000001498200001336005243430000000050243800021905N
01197612111329Orense                                            00434291005040030728100307281000000000000000000000000000000000000319500000327001930220000000019023500002787N
01197612114999País Vasco                                        02072100023590127788501277885000000000000000000000000000000000003559600002209006504550000000062749900022956N
01197612115999Región de Murcia                                  00881340006090054060200540602000000000000000000000000000000000000749900000699004372970000000042725100010046N
01197612116269Logroño                                           00241829003700016133200161332000000000000000000000000000000000000421800000214001361740000000013386200002312N
01197612199999Total nacional                                    36012701424862264429022644290000000000000000000000000000000000052345700052823170232820000001657318000450102N
01197612102999Aragón                                            01164617019630079892600798926000000000000000000000000000000000002288200001537006572430000000064277900014464N
01197612109089Barcelona                                         04389897037500285893202858932000000000000000000000000000000000009610200004966019663620000000191943000046932N
01197612110069Badajoz                                           00649117006680040425000404250000000000000000000000000000000000000586100000708003269920000000032005800006934N
01197612111999Galicia                                           02749349029720183784101837841000000000000000000000000000000000003035500003321012498760000000122532900024547N
01197612116999La Rioja                                          00241829003700016133200161332000000000000000000000000000000000000421800000214001361740000000013386200002312N
01197612119529Melilla                                           00053137000450002454100024541000000000000000000000000000000000000038800000062000189980000000001808100000917N
01197612104079Baleares                                          00597715006560037920500379205000000000000000000000000000000000000927300000942003091460000000030362400005522N
01197612109999Cataluña                                          05660393052430371065203710652000000000000000000000000000000000011806100006201026252930000000256714700058146N
01197612108999Castilla y León                                   02563355046020168729401687294000000000000000000000000000000000004665500003533013421350000000130539100036744N
01197612112999Comunidad de Madrid                               04319904056500261240202612402000000000000000000000000000000000007151000007714019639340000000188363000080304N
01197612113319Navarra                                           00486718007620031879700318797000000000000000000000000000000000000943900000646002246450000000021787900006766N
01197612104999Illes Balears                                     00597715006560037920500379205000000000000000000000000000000000000927300000942003091460000000030362400005522N
01197612108059Ávila                                             00192465003360012815200128152000000000000000000000000000000000000197100000182001044400000000010249100001949N
01197612101149Córdoba                                           00717769006640043841100438411000000000000000000000000000000000000692900001145003556950000000034850300007192N
01197612102229Huesca                                            00214013004650014968000149680000000000000000000000000000000000000365400000242001235200000000012173600001784N
01197612107139Ciudad Real                                       00484860005950030059500300595000000000000000000000000000000000000486000000533002488310000000024102900007802N
01197612108429Soria                                             00105308003810007333800073338000000000000000000000000000000000000208100000131000590360000000005789600001140N
01197612101119Cádiz                                             00935739007720052866400528664000000000000000000000000000000000001060400000991004228320000000041533800007494N
01197612101239Jaén                                              00651280009360038425900384259000000000000000000000000000000000000394500000555003104180000000030261700007801N
01197612105999Canarias                                          01303997014970074078100740781000000000000000000000000000000000001127800001353005467250000000053762600009099N
01197612106399Santander                                         00490997005710028250600282506000000000000000000000000000000000000728900000529002131490000000019833700014812N
