01198603101189Granada                                           00783265006800057828700578287000000000000000000155653002755400002038200004998003231420000000020530600117836N
01198603105359Las Palmas                                        00751269007190051816600518166000000000000000000138646001530240001305600003322002828450000000011621800166627N
01198603107029Albacete                                          00346217004400026153100261531000000000000000000071419001221010001368500002231001367460000000009253800044208N
01198603107199Guadalajara                                       00146311003730011535100115351000000000000000000031845000542270000856600001134000564860000000003510800021378N
01198603108479Valladolid                                        00491093006960037979500379795000000000000000000122230001968840002074800003010002047430000000012257200082171N
01198603110069Badajoz                                           00666053007410049414800494148000000000000000000159012002536410002321600005562002849840000000018838000096604N
01198603111369Pontevedra                                        00900414008680068123900681239000000000000000000107547002187310001824700003887002626830000000014293800119745N
01198603113999Comunidad Foral de Navarra                        00515900007330039684100396841000000000000000000117411002032360001416700003775002306430000000009981500130828N
01198603115309Murcia                                            01006788009410072328700723287000000000000000000207776003683440002868700005269004100410000000025457200155469N
01198603108349Palencia                                          00189433002980015027100150271000000000000000000043060000723460000981000001016000755030000000004773900027764N
01198603108379Salamanca                                         00359285005510029198900291989000000000000000000095876001486750002157200003422001485600000000009075700057803N
01198603108429Soria                                             00097734002240008166500081665000000000000000000025872000386620000613800000628000392660000000002363400015632N
01198603108499Zamora                                            00222006003750018800300188003000000000000000000050164000795630001244100002053000803630000000005075700029606N
01198603111999Galicia                                           02844472030740222068602220686000000000000000000319210006454750005653400011844007869120000000046510300321809N
01198603113319Navarra                                           00515900007330039684100396841000000000000000000117411002032360001416700003775002306430000000009981500130828N
01198603108099Burgos                                            00359241006740028506600285066000000000000000000087181001363850001787500001708001392140000000008552000053694N
01198603115999Región de Murcia                                  01006788009410072328700723287000000000000000000207776003683440002868700005269004100410000000025457200155469N
01198603109999Cataluña                                          05978638069310461473104614731000000000000000001308145023385960014639600021661027300550000000126341601466639N
01198603111329Orense                                            00429382005280035787400357874000000000000000000038469000769350000627300001203000915690000000005980600031763N
01198603112999Comunidad de Madrid                               04780572044690359104403591044000000000000000001023174017984240016438500022743020003360000000113563600864700N
01198603102229Huesca                                            00210094003540017502900175029000000000000000000051099000851100000869700001583000936020000000005634700037255N
01198603106399Cantabria                                         00522664005030040233900402339000000000000000000116397002044350001760900003047002192820000000014025100079031N
01198603199999Total nacional                                    38472109419012902449429024494000000000000000007710746131809640112767300191849159269300000000905450906872421N
01198603101149Córdoba                                           00747505006900054968200549682000000000000000000170310002975410002014300003677003462420000000021614400130098N
01198603101999Andalucía                                         06789772063520481022104810221000000000000000000973385017588150015908400028548027732580000000186862300904635N
01198603102449Teruel                                            00149423003040012505900125059000000000000000000034970000555090000803300000983000593580000000003790600021452N
01198603104079Baleares                                          00680933007430052471000524710000000000000000000130025002252580002116800003309002485440000000015188100096663N
01198603107139Ciudad Real                                       00482326004970036872800368728000000000000000000075244001456030001855100003531001890700000000013035600058714N
01198603109089Barcelona                                         04614364052780355856503558565000000000000000001040515018628340010737800015719021672880000000100694701160341N
01198603111279Lugo                                              00404888004590033951700339517000000000000000000037072000732840000747400002363000949420000000005684800038094N
01198603114489Vizcaya                                           01179150012020091492400914924000000000000000000285991004991310001633800004252005724950000000018955300382942N
01198603117469Valencia                                          02078815019900157705601577056000000000000000000526358008878430007202200010660009817870000000056431400417473N
01198603101219Huelva                                            00433995004600031244600312446000000000000000000087570001465490001082700001175001720580000000012187200050186N
01198603103999Principado de Asturias                            01112186013140090759900907599000000000000000000247648004313160002774900007109004766960000000027307400203622N
01198603108999Castilla y León                                   02582326040590207140902071409000000000000000000612767009884210013150700017656010198840000000062763300392251N
01198603109439Tarragona                                         00523883005860040493400404934000000000000000000104857001855530001415400002060002194080000000010666200112746N
01198603114999País Vasco                                        02136100022970164410801644108000000000000000000526113008309780002966100008665010370570000000033651800700539N
01198603117129Castellón                                         00436588005100033623100336231000000000000000000108194001794590002034300003215001965490000000012099800075551N
01198603102999Aragón                                            01184295017910095236100952361000000000000000000304209004822440004857200008255005162480000000031864000197608N
01198603104999Illes Balears                                     00680933007430052471000524710000000000000000000130025002252580002116800003309002485440000000015188100096663N
01198603110109Cáceres                                           00420367004620032913300329133000000000000000000108422001632540001460000002810001789580000000011683900062119N
01198603117039Alicante                                          01217279011130086306700863067000000000000000000276716004678480003784200005407005137770000000034233600171441N
01198603102509Zaragoza                                          00824778011330065227300652273000000000000000000218140003416250003184200005689003632880000000022438700138901N
01198603103339Asturias                                          01112186013140090759900907599000000000000000000247648004313160002774900007109004766960000000027307400203622N
01198603109259Lérida                                            00352049004360028174700281747000000000000000000064699001158710001011300001291001388960000000006272900076167N
01198603105999Canarias                                          01466391013410100338501003385000000000000000000251154002783270002625400006872005226540000000024201500280639N
01198603108249León                                              00530983006520042748000427480000000000000000000108740001877440002178100002599001996770000000013205500067622N
01198603108409Segovia                                           00150634002690011695600116956000000000000000000036454000611020000942700001312000620400000000003520100026839N
01198603105389Santa Cruz de Tenerife                            00715122006220048521900485219000000000000000000112508001253030001319800003550002398090000000012579700114012N
01198603107169Cuenca                                            00213359003140017011900170119000000000000000000045518000734560001071700001984000812820000000005735000023932N
01198603108059Ávila                                             00181917003200015018400150184000000000000000000043190000670600001171500001908000705180000000003939800031120N
01198603111159La Coruña                                         01109788012190084205600842056000000000000000000136122002765250002454000004391003377180000000020551100132207N
01198603101119Cádiz                                             01044493009380071618900716189000000000000000000187286003303540001833400002974004050120000000029658100108431N
01198603106999Cantabria                                         00522664005030040233900402339000000000000000000116397002044350001760900003047002192820000000014025100079031N
01198603107459Toledo                                            00486194004490036783400367834000000000000000000106249001773880002293900004731001966290000000013637700060252N
01198603109179Gerona                                            00488342006310036948500369485000000000000000000098074001743380001475100002591002044630000000008707800117385N
01198603114209Guipúzcoa                                         00689222007760053138800531388000000000000000000172541002184450000789100003350003362060000000009882000237386N
01198603107999Castilla - La Mancha                              01674407020730128356301283563000000000000000000330275005727750007445800013611006602130000000045172900208484N
01198603110999Extremadura                                       01086420012030082328100823281000000000000000000267434004168950003781600008372004639420000000030521900158723N
01198603112289Madrid                                            04780572044690359104403591044000000000000000001023174017984240016438500022743020003360000000113563600864700N
