012005021010400199Abla                                                                                                001301300000001482000020000124300001243000000000000000000000377000005920000004000000003000006180000000058100000037S
012005021010400299Abrucena                                                                                            001301300000001386000020000116200001162000000000000000000000277000004250000002400000001000005240000000049700000027S
012005021010400399Adra                                                                                                002902900000022257000290001675600016756000000000000000000002710000043280000023100000045000052700000000478000000490S
012005021010400499Albánchez                                                                                           005305300000000697000010000051200000512000000000000000000000183000002600000001000000001000002980000000028000000018S
012005021010400599Alboloduy                                                                                           001301300000000764000010000068800000688000000000000000000000195000003270000001300000000000003750000000029900000076S
012005021010400699Albox                                                                                               005305300000010680000120000721700007219000000000000000000001340000022030000009200000017000028650000000271800000147S
012005021010400799Alcolea                                                                                             001301300000001009000010000081600000816000000000000000000000207000003240000002100000006000003780000000036100000017S
012005021010400899Alcóntar                                                                                            005305300000000650000020000055000000550000000000000000000000120000002390000000800000007000002750000000025400000021S
012005021010400999Alcudia de Monteagud                                                                                001301300000000166000010000016600000166000000000000000000000047000000720000000300000003000000760000000006500000011S
012005021010401099Alhabia                                                                                             001301300000000679000010000057600000576000000000000000000000240000003420000001400000005000003590000000034400000015S
012005021010401199Alhama de Almería                                                                                   001301300000003319000040000260200002602000000000000000000000699000010530000005100000009000013460000000124800000098S
012005021010401299Alicún                                                                                              001301300000000247000010000021100000211000000000000000000000087000001430000001200000000000001560000000014900000007S
012005021010401399Almería                                                                                             001301300000177681002080013389800133900000000000000000000027083000374010000231400000224000448120000003890200005910S
012005021010401499Almócita                                                                                            001301300000000165000010000015600000156000000000000000000000065000000870000000500000000000001000000000009700000003S
012005021010401599Alsodux                                                                                             001301300000000119000010000011600000116000000000000000000000060000000760000000300000000000000860000000008200000004S
012005021010401699Antas                                                                                               010010000000003101000040000214500002145000000000000000000000442000007760000003400000010000010090000000091200000097S
012005021010401799Arboleas                                                                                            005305300000002310000020000127300001273000000000000000000000306000005010000001700000003000006130000000057500000038S
012005021010401899Armuña de Almanzora                                                                                 005305300000000310000010000028200000282000000000000000000000102000001790000001000000005000001960000000018300000013S
012005021010401999Bacares                                                                                             005305300000000296000010000025400000254000000000000000000000069000001100000000100000001000001430000000013300000010S
012005021010402099Bayárcal                                                                                            001301300000000305000010000029300000293000000000000000000000046000000860000000100000001000001280000000012200000006S
012005021010402199Bayarque                                                                                            005305300000000246000010000021800000218000000000000000000000069000001090000000400000000000001290000000012100000008S
012005021010402299Bédar                                                                                               010010000000000732000010000035500000355000000000000000000000151000001970000001100000003000002100000000019700000013S
012005021010402399Beires                                                                                              001301300000000121000010000013700000137000000000000000000000050000000650000000300000000000000740000000007300000001S
012005021010402499Benahadux                                                                                           001301300000003058000040000235000002350000000000000000000000596000009070000004200000007000010090000000091700000092S
012005021010402699Benitagla                                                                                           001301300000000066000010000006300000063000000000000000000000015000000230000000100000000000000220000000001000000012S
012005021010402799Benizalón                                                                                           001301300000000302000010000027100000271000000000000000000000047000000790000000500000000000000990000000008700000012S
012005021010402899Bentarique                                                                                          001301300000000278000010000025500000255000000000000000000000104000001590000000300000002000001780000000016600000012S
012005021010402999Berja                                                                                               002902900000013924000170001040300010403000000000000000000001968000032760000019200000018000039780000000372300000255S
012005021010403099Canjáyar                                                                                            001301300000001575000020000133200001332000000000000000000000366000005270000003100000003000006280000000057000000058S
012005021010403199Cantoria                                                                                            005305300000003382000040000257900002579000000000000000000000695000011090000003800000008000013140000000126000000054S
