01197812111369Pontevedra                                        00888307013730060699300606993000000000000000000000000000000000001435900004042003167990000000029507500021724N
01197812114489Vizcaya                                           01208988018180087493600874936000000000000000000000000000000000002032700007074003440550000000026601900078036N
01197812101189Granada                                           00771227011770052032200520322000000000000000000000000000000000000699700002168003516350000000033046800021167N
01197812101419Sevilla                                           01452450020760100251801002518000000000000000000000000000000000001375900003684006782180000000064469200033526N
01197812107029Albacete                                          00340797005540023727800237278000000000000000000000000000000000000529000001291001639350000000015043400013501N
01197812108479Valladolid                                        00473942007860033262900332629000000000000000000000000000000000001223600002338002327080000000020403000028678N
01197812110069Badajoz                                           00662557010790045110800451108000000000000000000000000000000000000865700001964003116730000000028684000024833N
01197812110109Cáceres                                           00441306007340031412700314127000000000000000000000000000000000000614400001332002097720000000019496800014804N
01197812111279Lugo                                              00416972008130033555900335559000000000000000000000000000000000000642600001578001324130000000012429200008121N
01197812111999Galicia                                           02860368048570210761302107613000000000000000000000000000000000004209200011961010039890000000094209700061892N
01197812101149Córdoba                                           00744359011530050926700509267000000000000000000000000000000000000799700002126003723960000000034735200025044N
01197812101999Andalucía                                         06462456094250434754204347542000000000000000000000000000000000006281700017574029414030000000277552100165882N
01197812112289Madrid                                            04578974066160304722603047226000000000000000000000000000000000006657500015684021188430000000189620500222638N
01197812114019Álava                                             00251953003750017341200173412000000000000000000000000000000000000819400001493000931350000000007340900019726N
01197812118519Ceuta                                             00062861000760003248800032488000000000000000000000000000000000000067000000134000228460000000002084900001997N
01197812101239Jaén                                              00671563010530046082000460820000000000000000000000000000000000000581800002229003248920000000029589100029001N
01197812102449Teruel                                            00157996004280012223900122239000000000000000000000000000000000000459000000524000859950000000007830400007691N
01197812102509Zaragoza                                          00820831014370060529700605297000000000000000000000000000000000002062300002322004196880000000038900000030688N
01197812108249León                                              00546671008560040859500408595000000000000000000000000000000000001119300002835002533270000000023575000017577N
01197812101119Cádiz                                             00999129013470064028700640287000000000000000000000000000000000001094800002845004292300000000041136500017865N
01197812106999Cantabria                                         00510460008310037455900374559000000000000000000000000000000000000915000001573002557910000000022255900033232N
01197812107199Guadalajara                                       00142987004300010687900106879000000000000000000000000000000000000299200000617000777460000000006624000011506N
01197812110999Extremadura                                       01103863018130076523500765235000000000000000000000000000000000001480100003296005214450000000048180800039637N
01197812111329Orense                                            00445232008280034672500346725000000000000000000000000000000000000415800001438001311190000000012261000008509N
01197812115309Murcia                                            00938815013580063026800630268000000000000000000000000000000000001097500002570004366970000000040872200027975N
01197812107459Toledo                                            00479141007840034703900347039000000000000000000000000000000000000798900002233002597420000000022071500039027N
01197812108379Salamanca                                         00366491007250028031000280310000000000000000000000000000000000001025300001211001931400000000018036800012772N
01197812114999País Vasco                                        02168909031910155273701552737000000000000000000000000000000000003981600011098006423960000000047920500163191N
01197812101299Málaga                                            00989971013480064933700649337000000000000000000000000000000000000861900002622004096430000000038796000021683N
01197812105389Santa Cruz de Tenerife                            00694628009530046031200460312000000000000000000000000000000000000607300001643002524500000000024208500010365N
01197812108429Soria                                             00105202004080008092700080927000000000000000000000000000000000000292100000394000561110000000005205600004055N
01197812117129Castellón                                         00425582007440033719600337196000000000000000000000000000000000000964100001533002337570000000021661300017144N
01197812101219Huelva                                            00422092006380028890000288900000000000000000000000000000000000000488300001127001945980000000018580700008791N
01197812108409Segovia                                           00153154003600011125900111259000000000000000000000000000000000000523300000589000801320000000007385400006278N
01197812112999Comunidad de Madrid                               04578974066160304722603047226000000000000000000000000000000000006657500015684021188430000000189620500222638N
01197812115999Región de Murcia                                  00938815013580063026800630268000000000000000000000000000000000001097500002570004366970000000040872200027975N
01197812116269Logroño                                           00249676004820019259700192597000000000000000000000000000000000000656900001205001317870000000012084700010940N
01197812102229Huesca                                            00217244004960016686700166867000000000000000000000000000000000000541100000584001183380000000011243000005908N
01197812102999Aragón                                            01196071023610089440300894403000000000000000000000000000000000003062400003430006240210000000057973400044287N
01197812104999Illes Balears                                     00634248010030045011500450115000000000000000000000000000000000001539400002648002978490000000028259800015251N
01197812109179Gerona                                            00460799008020033628200336282000000000000000000000000000000000001243300001731002289970000000021831600010681N
01197812101049Almería                                           00411665006330027609100276091000000000000000000000000000000000000379600000773001807910000000017198600008805N
01197812107139Ciudad Real                                       00495903008130034950200349502000000000000000000000000000000000000767600001928002352250000000020843300026792N
01197812108059Ávila                                             00194540004330014574200145742000000000000000000000000000000000000413000000600001011020000000009414700006955N
01197812108099Burgos                                            00365941008630026568400265684000000000000000000000000000000000000984800001455001786280000000015506400023564N
01197812106399Santander                                         00510460008310037455900374559000000000000000000000000000000000000915000001573002557910000000022255900033232N
01197812108349Palencia                                          00190136004460014136500141365000000000000000000000000000000000000542500000874000988740000000008321100015663N
01197812114209Guipúzcoa                                         00707968009980050438900504389000000000000000000000000000000000001129500002531002052060000000013977700065429N
01197812116999La Rioja                                          00249676004820019259700192597000000000000000000000000000000000000656900001205001317870000000012084700010940N
01197812117999Comunitat Valenciana                              03572440056230254548102545481000000000000000000000000000000000006501000013789018083440000000167668000131664N
01197812119529Melilla                                           00055291000640002940300029403000000000000000000000000000000000000051100000084000188280000000001718500001643N
01197812199999Total nacional                                    37752323600932663218026632180000000000000000000000000000000000063290200133786171065830000001570607801400505N
01197812108999Castilla y León                                   02633520053830195081301950813000000000000000000000000000000000006924500011175013119060000000118436100127545N
01197812109999Cataluña                                          05989170092750439817304398173000000000000000000000000000000000012646200020549028397150000000270187000137845N
01197812105359Las Palmas                                        00685799009110041965100419651000000000000000000000000000000000001150700001445002803920000000026658300013809N
01197812105999Canarias                                          01380427018640087996300879963000000000000000000000000000000000001758000003088005328420000000050866800024174N
01197812107169Cuenca                                            00226573004700016682700166827000000000000000000000000000000000000385400000864001200000000000010579200014208N
01197812107999Castilla - La Mancha                              01685401030510120752501207525000000000000000000000000000000000002780100006933008566480000000075161400105034N
01197812117469Valencia                                          02028359032190145116901451169000000000000000000000000000000000003943900008810010465210000000096893200077589N
01197812103999Principado de Asturias                            01162712019290086479600864796000000000000000000000000000000000001139500004726005182220000000047334800044874N
01197812104079Baleares                                          00634248010030045011500450115000000000000000000000000000000000001539400002648002978490000000028259800015251N
01197812109439Tarragona                                         00521889008330036923700369237000000000000000000000000000000000000944000001921002361790000000022533000010849N
01197812103339Oviedo                                            01162712019290086479600864796000000000000000000000000000000000001139500004726005182220000000047334800044874N
01197812109089Barcelona                                         04650625069770342468203424682000000000000000000000000000000000009701800015815022049970000000209546700109530N
01197812109259Lérida                                            00355857006630026797200267972000000000000000000000000000000000000757100001082001695420000000016275700006785N
01197812117039Alicante                                          01118499016600075711600757116000000000000000000000000000000000001593000003446005280660000000049113500036931N
01197812108499Zamora                                            00237443005060018430200184302000000000000000000000000000000000000800600000879001178840000000010588100012003N
01197812111159La Coruña                                         01109857018430081833600818336000000000000000000000000000000000001714900004903004236580000000040012000023538N
01197812113319Navarra                                           00506661008910036124300361243000000000000000000000000000000000001541500002269002230110000000018220700040804N
01197812113999Comunidad Foral de Navarra                        00506661008910036124300361243000000000000000000000000000000000001541500002269002230110000000018220700040804N
