011986031010400199ABLA                                                                                                000000000000001731000010000134300001343000000000000000000000483000006610000005200000010000007700000000049100000279N
011986031010400299ABRUCENA                                                                                            000000000000001594000010000126200001262000000000000000000000438000006420000004100000013000007480000000050800000240N
011986031010400399ADRA                                                                                                000000000000019358000170001260600012606000000000000000000002658000048900000038600000042000060870000000402300002064N
011986031010400499ALBANCHEZ                                                                                           000000000000000865000010000075500000755000000000000000000000241000003460000002800000006000003640000000032400000040N
011986031010400599ALBOLODUY                                                                                           000000000000001033000010000082200000822000000000000000000000300000004500000003600000026000004640000000034400000120N
011986031010400699ALBOX                                                                                               000000000000010321000090000677800006778000000000000000000001359000027800000034400000018000033020000000238900000913N
011986031010400799ALCOLEA                                                                                             000000000000000871000010000070700000707000000000000000000000274000003990000002000000000000004660000000035400000112N
011986031010400899ALCONTAR                                                                                            000000000000000698000010000057500000575000000000000000000000120000002050000003000000001000002310000000017700000054N
011986031010400999ALCUDIA DE MONTEAGUD                                                                                000000000000000218000010000018800000188000000000000000000000056000000660000001200000002000000640000000003800000026N
011986031010401099ALHABIA                                                                                             000000000000000885000010000066000000660000000000000000000000266000004160000003100000011000004420000000031000000132N
011986031010401199ALHAMA DE ALMERIA                                                                                   000000000000003068000030000220200002202000000000000000000000697000013850000005500000015000015930000000096500000628N
011986031010401299ALICUN                                                                                              000000000000000243000010000019000000190000000000000000000000097000001410000001700000004000001440000000007600000068N
011986031010401399ALMERIA                                                                                             000000000000153592001190010430100104301000000000000000000026489000494840000366700000419000563710000003657100019800N
011986031010401499ALMOCITA                                                                                            000000000000000217000010000019200000192000000000000000000000057000001040000000700000003000001180000000005900000059N
011986031010401599ALSODUX                                                                                             000000000000000125000010000011700000117000000000000000000000051000000630000000800000000000000690000000004700000022N
011986031010401699ANTAS                                                                                               000000000000002541000030000179800001798000000000000000000000337000006960000009900000005000009700000000068300000287N
011986031010401799ARBOLEAS                                                                                            000000000000001513000020000110400001104000000000000000000000337000005800000004500000004000006210000000044000000181N
011986031010401899ARMUÑA DE ALMANZORA                                                                                 000000000000000343000010000029000000290000000000000000000000091000001400000001500000001000001640000000013400000030N
011986031010401999BACARES                                                                                             000000000000000342000010000031200000312000000000000000000000145000001820000000500000003000001840000000013200000052N
011986031010402099BAYARCAL                                                                                            000000000000000447000010000036400000364000000000000000000000068000001200000000200000000000001510000000006500000086N
011986031010402199BAYARQUE                                                                                            000000000000000254000010000022400000224000000000000000000000075000001040000000600000001000001270000000010000000027N
011986031010402299BEDAR                                                                                               000000000000000587000010000043100000431000000000000000000000152000002330000000700000001000002800000000016600000114N
011986031010402399BEIRES                                                                                              000000000000000171000010000016500000165000000000000000000000052000000620000001100000000000000620000000005500000007N
011986031010402499BENAHADUX                                                                                           000000000000002016000020000137500001375000000000000000000000448000008370000002300000005000010550000000063300000422N
011986031010402699BENITAGLA                                                                                           000000000000000125000010000010700000107000000000000000000000003000000050000000000000000000000070000000000500000002N
011986031010402799BENIZALON                                                                                           000000000000000448000010000036100000361000000000000000000000073000000920000001200000001000001010000000007200000029N
011986031010402899BENTARIQUE                                                                                          000000000000000348000010000027500000275000000000000000000000130000001610000001900000000000001750000000013600000039N
011986031010402999BERJA                                                                                               000000000000011533000120000864600008646000000000000000000001953000036300000027600000066000047650000000334000001425N
011986031010403099CANJAYAR                                                                                            000000000000002205000030000175500001755000000000000000000000626000008420000005400000014000009810000000058000000401N
011986031010403199CANTORIA                                                                                            000000000000003406000030000270000002700000000000000000000000864000013140000013200000027000014670000000109100000376N
011986031010403299CARBONERAS                                                                                          000000000000005602000040000330100003301000000000000000000000885000016620000005800000004000020200000000131000000710N
011986031010403399CASTRO DE FILABRES                                                                                  000000000000000160000010000018900000189000000000000000000000038000000620000000200000000000000700000000006100000009N
011986031010403499COBDAR                                                                                              000000000000000305000010000030900000309000000000000000000000079000001320000001000000000000001470000000011900000028N
011986031010403599CUEVAS DEL ALMANZORA                                                                                000000000000009070000070000630500006305000000000000000000001483000030750000021500000014000038490000000259200001257N
011986031010403699CHERCOS                                                                                             000000000000000369000010000027500000275000000000000000000000070000001560000000300000001000001740000000013600000038N
011986031010403799CHIRIVEL                                                                                            000000000000002056000020000172400001724000000000000000000000578000007990000009900000011000009100000000058700000323N
011986031010403899DALIAS                                                                                              000000000000003625000050000271500002715000000000000000000000726000013090000008200000014000016270000000079700000830N
011986031010403999DARRICAL                                                                                            000000000000000388000010000045000000450000000000000000000000058000000830000000200000001000000980000000006400000034N
011986031010404199ENIX                                                                                                000000000000000240000010000022400000224000000000000000000000070000001460000000700000000000001500000000009900000051N
011986031010404399FELIX                                                                                               000000000000000685000010000056700000567000000000000000000000220000003570000002600000006000003700000000024800000122N
011986031010404499FINES                                                                                               000000000000001549000010000106700001067000000000000000000000328000006220000001900000003000007400000000049000000250N
011986031010404599FIÑANA                                                                                              000000000000002792000030000210500002105000000000000000000000699000010360000010400000035000011600000000094000000220N
011986031010404699FONDON                                                                                              000000000000001031000020000087200000872000000000000000000000211000003580000003500000007000004250000000029600000129N
011986031010404799GADOR                                                                                               000000000000002531000030000191000001910000000000000000000000656000010580000011300000007000011830000000093200000251N
