031977061049006000008006TVICENTE GONZALEZ AZNAR                                                      000000000000000000N
031977061049009000008009TEMILIO MARIN DE BURGOS                                                      000000000000000000N
031977061049011000008011TANTONIO MORENO MARTIN                                                       000000000000000000N
031977061049001000009001TANTONIO ANDUJAR RODRIGUEZ                                                   000000000000000000N
031977061049015000009015TRAFAEL VICIANA ARAEZ                                                        000000000000000000N
031977061049016000009016TMIGUEL VIZCAINO MARQUEZ                                                     000000000000000000N
031977061049007000012007TANGEL MARIA DE LERA GARCIA                                                  000000000000000000N
031977061049010000012010TFRANCISCO MEDINA SANCHEZ                                                    000000000000000000N
031977061049014000012014TMANUEL RODRIGUEZ DE SORIA                                                   000000000000000000N
031977061049005000033005TFRANCISCO GALDEANO FERNANDEZ                                                000000000000000000N
031977061049002000087002TJESUS DURBAN REMON                                                          000000000000000000S
031977061049004000087004TJOSE FERNANDEZ ALEMAN                                                       000000000000000000S
031977061049013000087013TMANUEL DE OÑA IRIBARNE                                                      000000000000000000S
031977061049003000093003TEMILIO ESTEBAN HANZA                                                        000000000000000000N
031977061049008000093008TANGEL LOPEZ MASEGOSA                                                        000000000000000000N
031977061049012000093012TJOAQUIN NAVARRO ESTEBAN                                                     000000000000000000S
031977061119005000006005TJUAN LUIS BANDRES GUERRERO                                                  000000000000000000N
031977061119003000009003TJOSE ARELLANO CAMPOS                                                        000000000000000000N
031977061119011000009011TURBANO HERRERO MARTOS                                                       000000000000000000N
031977061119013000009013TANTONIO LEON MANJON                                                         000000000000000000N
031977061119019000033019TJOSE JULIO VELEZ NOGUERA                                                    000000000000000000N
031977061119001000035001TJERONIMO ALMAGRO Y MONTES DE OCA                                            000000000000000000N
031977061119004000035004TEDUARDO BALLESTERO MORALES                                                  000000000000000000N
031977061119016000035016TFERNANDO PORRO GUERRERO                                                     000000000000000000N
031977061119008000084008TANTONIO CRUCES PEREZ                                                        000000000000000000N
031977061119012000084012TINOCENCIO LEON CANTERO                                                      000000000000000000N
031977061119017000084017TMIGUEL ROURE LINHOFF                                                        000000000000000000N
031977061119007000087007TANTONIO CORTES SABARIEGO                                                    000000000000000000S
031977061119014000087014TJUAN MORALES SANCHEZ                                                        000000000000000000N
031977061119020000087020TJOSE LUIS VILLAR CERON                                                      000000000000000000N
031977061119006000091006TJOSE BOHORQUEZ MORA FIGUEROA                                                000000000000000000N
031977061119018000091018TFRANCISCO SANCHEZ COSSIO Y VELEZ                                            000000000000000000N
031977061119002000094002TGUILLERMO ALONSO DEL REAL MONTES                                            000000000000000000S
031977061119009000094009TJOSE MANUEL DUARTE CENDAN                                                   000000000000000000S
031977061119010000094010TPATRICIO GUTIERREZ CANO                                                     000000000000000000S
031977061119015000095015TCARMEN PINEDO SANCHEZ                                                       000000000000000000N
031977061149003000009003TANTONIO CRUZ CONDE Y CONDE                                                  000000000000000000N
031977061149007000009007TJOSE JAEN BONILLA                                                           000000000000000000N
031977061149018000009018TALFONSO VERA VEGA                                                           000000000000000000N
031977061149015000033015TMANUEL PEREZ PEREZ                                                          000000000000000000N
031977061149008000062008TJOSE JUAN LOPEZ GAVILAN                                                     000000000000000000N
031977061149002000078002TMATIAS CAMACHO LLORIZ                                                       000000000000000000S
