031989101010400199ABLA                                                                                                001301300000001731000010000132300001323000000000000000000000485000008290000001300000024000009450000000000000000000N
031989101010400299ABRUCENA                                                                                            001301300000001594000010000118800001188000000000000000000000440000006580000000300000026000008890000000000000000000N
031989101010400399ADRA                                                                                                002902900000019358000170001342800013428000000000000000000003474000062490000006500000247000080140000000000000000000N
031989101010400499ALBANCHEZ                                                                                           005305300000000865000010000065800000658000000000000000000000276000004370000000200000002000004960000000000000000000N
031989101010400599ALBOLODUY                                                                                           001301300000001033000010000076800000768000000000000000000000338000005570000000200000013000006160000000000000000000N
031989101010400699ALBOX                                                                                               005305300000010321000080000632500006325000000000000000000001820000036200000002200000156000043310000000000000000000N
031989101010400799ALCOLEA                                                                                             001301300000000871000010000067600000676000000000000000000000361000005160000000100000007000005190000000000000000000N
031989101010400899ALCONTAR                                                                                            005305300000000698000020000055000000550000000000000000000000129000003370000000200000017000004090000000000000000000N
031989101010400999ALCUDIA DE MONTEAGUD                                                                                001301300000000218000010000017300000173000000000000000000000090000001160000000000000001000001330000000000000000000N
031989101010401099ALHABIA                                                                                             001301300000000885000010000062700000627000000000000000000000253000004440000000500000006000004870000000000000000000N
031989101010401199ALHAMA DE ALMERIA                                                                                   001301300000003068000030000220200002202000000000000000000000679000012990000001200000057000017490000000000000000000N
031989101010401299ALICUN                                                                                              001301300000000243000010000019200000192000000000000000000000075000001400000000100000011000001630000000000000000000N
031989101010401399ALMERIA                                                                                             001301300000153592001180011195100111951000000000000000000040746000587910000079800002348000705180000000000000000000N
031989101010401499ALMOCITA                                                                                            001301300000000217000010000017900000179000000000000000000000044000000910000000000000004000001300000000000000000000N
031989101010401599ALSODUX                                                                                             001301300000000125000010000011500000115000000000000000000000049000000810000000000000003000000890000000000000000000N
031989101010401699ANTAS                                                                                               010010000000002541000030000188300001883000000000000000000000390000009240000001700000043000012750000000000000000000N
031989101010401799ARBOLEAS                                                                                            005305300000001513000010000118000001180000000000000000000000387000007040000000500000022000008160000000000000000000N
031989101010401899ARMUÑA DE ALMANZORA                                                                                 005305300000000343000010000028800000288000000000000000000000122000001920000000000000002000002330000000000000000000N
031989101010401999BACARES                                                                                             005305300000000342000010000028000000280000000000000000000000114000001760000000100000003000002130000000000000000000N
031989101010402099BAYARCAL                                                                                            001301300000000447000010000031300000313000000000000000000000106000001850000000200000006000002230000000000000000000N
031989101010402199BAYARQUE                                                                                            005305300000000254000010000021200000212000000000000000000000060000001250000000000000001000001660000000000000000000N
031989101010402299BEDAR                                                                                               010010000000000587000010000041900000419000000000000000000000141000002390000000100000012000002620000000000000000000N
031989101010402399BEIRES                                                                                              001301300000000171000010000013500000135000000000000000000000053000000840000000000000001000001040000000000000000000N
031989101010402499BENAHADUX                                                                                           001301300000002016000020000149200001492000000000000000000000610000009740000000300000013000011680000000000000000000N
031989101010402699BENITAGLA                                                                                           001301300000000125000010000009800000098000000000000000000000033000000410000000000000000000000600000000000000000000N
031989101010402799BENIZALON                                                                                           001301300000000448000010000030700000307000000000000000000000077000001400000000000000007000001900000000000000000000N
031989101010402899BENTARIQUE                                                                                          001301300000000348000010000027500000275000000000000000000000150000002040000000000000003000002310000000000000000000N
031989101010402999BERJA                                                                                               002902900000011533000120000848800008488000000000000000000002582000048910000003700000200000061170000000000000000000N
031989101010403099CANJAYAR                                                                                            001301300000002205000030000160900001609000000000000000000000587000008150000000600000040000010950000000000000000000N
031989101010403199CANTORIA                                                                                            005305300000003406000030000259500002595000000000000000000001014000016100000000000000044000018430000000000000000000N
031989101010403299CARBONERAS                                                                                          010010000000005602000050000368700003687000000000000000000001073000019880000003300000056000025910000000000000000000N
031989101010403399CASTRO FILABRES                                                                                     001301300000000160000010000013100000131000000000000000000000032000000670000000000000002000000840000000000000000000N
031989101010403499COBDAR                                                                                              001301300000000305000010000024300000243000000000000000000000089000001690000000000000001000002000000000000000000000N
031989101010403599CUEVAS DEL ALMANZORA                                                                                010010000000009070000070000649800006498000000000000000000002080000037480000005400000166000045880000000000000000000N
031989101010403699CHERCOS                                                                                             005305300000000369000010000027400000274000000000000000000000097000001870000000000000001000002050000000000000000000N
031989101010403799CHIRIVEL                                                                                            005305300000002056000020000163800001638000000000000000000000477000008200000001100000052000010850000000000000000000N
031989101010403899DALIAS                                                                                              002902900000003625000050000269200002692000000000000000000000957000015790000001600000060000019650000000000000000000N
031989101010403999DARRICAL                                                                                            002902900000000388000010000033200000332000000000000000000000078000001510000000100000001000001740000000000000000000N
031989101010404199ENIX                                                                                                001301300000000240000010000019100000191000000000000000000000093000001090000000000000001000001420000000000000000000N
031989101010404399FELIX                                                                                               001301300000000685000010000052800000528000000000000000000000230000003640000000500000009000004030000000000000000000N
031989101010404499FINES                                                                                               005305300000001549000010000113500001135000000000000000000000386000007260000001300000021000008820000000000000000000N
031989101010404599FIÑANA                                                                                              001301300000002792000030000209400002094000000000000000000000795000012170000001100000048000014900000000000000000000N
031989101010404699FONDON                                                                                              001301300000001031000010000080300000803000000000000000000000289000004610000000500000016000006040000000000000000000N
