03200803000001AXJ                                               ACCION POR LA JUSTICIA                                                                                                                                000001000001000001
03200803000002AY                                                ACCION YUNTAR                                                                                                                                         000002000002000002
03200803000003AGRUCI                                            AGRUPACION CIUDADANA                                                                                                                                  000003000003000003
03200803000004AHI-CC                                            AGRUPACION HERREÑA INDEPENDIENTE - COALICION CANARIA                                                                                                  000050000050000050
03200803000005A.u.N.                                            ALIANZA NACIONAL                                                                                                                                      000005000005000005
03200803000008AuN                                               ALIANZA NACIONAL                                                                                                                                      000008000005000005
03200803000011AC25M                                             ALTERNATIVA CIUDADANA 25 DE MAYO                                                                                                                      000011000011000011
03200803000012ABLA                                              ALTERNATIVA EN BLANCO                                                                                                                                 000012000012000012
03200803000013aBla                                              ALTERNATIVA EN BLANCO                                                                                                                                 000013000013000012
03200803000014AES                                               ALTERNATIVA ESPAÑOLA                                                                                                                                  000014000014000014
03200803000015A.I.D.G.                                          ALTERNATIVA INDEPENDIENTE DE GALICIA                                                                                                                  000015000015000015
03200803000017A.M.D.                                            ALTERNATIVA MOTOR Y DEPORTES                                                                                                                          000017000017000017
03200803000019ANC                                               ALTERNATIVA NACIONALISTA CANARIA                                                                                                                      000019000019000019
03200803000020AA                                                ANDECHA ASTUR                                                                                                                                         000020000020000020
03200803000021aralar                                            ARALAR                                                                                                                                                000021000021000021
03200803000022AVE                                               ASAMBLEA DE VOTACION ELECTRONICA                                                                                                                      000022000022000022
03200803000023B-LV                                              BERDEAK-LOS VERDES                                                                                                                                    000023000023000135
03200803000024BLOC-IDPV-EV-EE                                   BLOC-INICIATIVA-VERDS                                                                                                                                 000024000024000024
03200803000025BLOC-IdPV-EV-EE                                   BLOC-INICIATIVA-VERDS                                                                                                                                 000025000024000024
03200803000026B.N.G.                                            BLOQUE NACIONALISTA GALEGO                                                                                                                            000026000026000026
03200803000027BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000027000026000026
03200803000028CA.RE                                             CASTILLA REPUBLICANA                                                                                                                                  000028000028000028
03200803000029C.D.Es.                                           CENTRO DEMOCRATICO ESPAÑOL                                                                                                                            000029000029000029
03200803000030CDEs                                              CENTRO DEMOCRATICO ESPAÑOL                                                                                                                            000030000029000029
03200803000031C.D.L.                                            CENTRO DEMOCRATICO LIBERAL                                                                                                                            000031000031000031
03200803000032CDL                                               CENTRO DEMOCRATICO LIBERAL                                                                                                                            000032000032000031
03200803000034CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000034000034000034
03200803000038CHA                                               CHUNTA ARAGONESISTA                                                                                                                                   000038000038000038
