032008031010400199Abla                                                                                                001301300000001514000020000118000001180000000000000000000000524000007980000001200000029000009070000000000000000000S
032008031010400299Abrucena                                                                                            001301300000001379000020000113800001138000000000000000000000471000007580000001300000010000008900000000000000000000S
032008031010400399Adra                                                                                                002902900000023742000300001709800017104000000000000000000006699000102720000011600000225000124700000000000000000000S
032008031010400499Albánchez                                                                                           005305300000000697000010000047300000473000000000000000000000238000003240000000900000008000003850000000000000000000S
032008031010400599Alboloduy                                                                                           001301300000000728000010000064000000640000000000000000000000278000004890000000100000006000005380000000000000000000S
032008031010400699Albox                                                                                               005305300000011166000140000722300007227000000000000000000002440000042670000007800000110000050820000000000000000000S
032008031010400799Alcolea                                                                                             001301300000000957000010000079100000791000000000000000000000330000005000000000600000017000005830000000000000000000S
032008031010400899Alcóntar                                                                                            005305300000000611000020000052900000529000000000000000000000226000003550000000300000007000004260000000000000000000S
032008031010400999Alcudia de Monteagud                                                                                001301300000000154000010000015800000158000000000000000000000072000000930000000000000000000001170000000000000000000S
032008031010401099Alhabia                                                                                             001301300000000710000010000060400000605000000000000000000000322000004570000000400000007000005070000000000000000000S
032008031010401199Alhama de Almería                                                                                   001301300000003587000040000269900002699000000000000000000001241000018090000001200000026000021810000000000000000000S
032008031010401299Alicún                                                                                              001301300000000272000010000021700000217000000000000000000000124000001740000000200000000000001960000000000000000000S
032008031010401399Almería                                                                                             001301300000186651002290013493500134958000000000000000000055260000782400000164600001461000935360000000000000000000S
032008031010401499Almócita                                                                                            001301300000000158000010000014800000148000000000000000000000068000001010000000000000001000001280000000000000000000S
032008031010401599Alsodux                                                                                             001301300000000176000010000016500000165000000000000000000000089000001200000000200000002000001300000000000000000000S
032008031010401699Antas                                                                                               010010000000003244000040000219200002192000000000000000000000910000014840000001700000029000018610000000000000000000S
032008031010401799Arboleas                                                                                            005305300000003904000030000133100001331000000000000000000000516000008470000001600000034000009570000000000000000000S
032008031010401899Armuña de Almanzora                                                                                 005305300000000333000010000028600000286000000000000000000000156000002240000000100000005000002550000000000000000000S
032008031010401999Bacares                                                                                             005305300000000308000010000026200000262000000000000000000000116000001790000000300000006000002040000000000000000000S
032008031010402099Bayárcal                                                                                            001301300000000273000010000031200000312000000000000000000000112000001880000000500000006000003050000000000000000000S
032008031010402199Bayarque                                                                                            005305300000000244000010000020400000204000000000000000000000097000001530000000400000000000001750000000000000000000S
032008031010402299Bédar                                                                                               010010000000000910000010000036300000363000000000000000000000174000002420000000500000012000002780000000000000000000S
032008031010402399Beires                                                                                              001301300000000128000010000014900000149000000000000000000000084000001050000000100000002000001200000000000000000000S
032008031010402499Benahadux                                                                                           001301300000003570000040000277800002778000000000000000000001321000019160000003600000053000021770000000000000000000S
