03201111000132P.R.C.                                            PARTIDO REGIONALISTA DE CANTABRIA                                                                                                                     000132000132000132
03201111000133PREPAL                                            PARTIDO REGIONALISTA DEL PAIS LEONES                                                                                                                  000133000133000133
03201111000134PRAO                                              PARTIDO REGIONALISTA POR ANDALUCIA ORIENTAL                                                                                                           000134000134000134
03201111000135PSE-EE (PSOE)                                     PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE)                                                                                                000135000135000137
03201111000136P.S.O.E.                                          PARTIDO SOCIALISTA OBRERO ESPA?OL                                                                                                                     000136000137000137
03201111000137PSOE                                              PARTIDO SOCIALISTA OBRERO ESPA?OL                                                                                                                     000137000137000137
03201111000138PACMA                                             PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL                                                                                                      000138000138000107
03201111000139PCPC                                              PARTIT COMUNISTA DEL POBLE DE CATALUNYA                                                                                                               000139000139000110
03201111000140P.C.P.E.                                          PARTIT COMUNISTA DELS POBLES D'ESPANYA                                                                                                                000140000110000110
03201111000144P.P.                                              PARTIT POPULAR/PARTIDO POPULAR                                                                                                                        000144000128000128
03201111000145PRE-R                                             PARTIT REPUBLICA D'ESQUERRA-REPUBLICANS                                                                                                               000145000145000145
03201111000146PSM-EN                                            PARTIT SOCIALISTA DE MENORCA-ENTESA NACIONALISTA                                                                                                      000146000146000146
03201111000147PUM+J                                             PER UN MON MES JUST                                                                                                                                   000147000147000150
03201111000148PIRATA.CAT                                        PIRATES DE CATALUNYA                                                                                                                                  000148000148000148
03201111000149PxC                                               PLATAFORMA PER CATALUNYA                                                                                                                              000149000149000149
03201111000150PUM+J                                             POR UN MUNDO MAS JUSTO                                                                                                                                000150000150000150
03201111000151PSM-IV-EXM-EQUO                                   PSM-INICIATIVA VERDS-ENTESA-EQUO                                                                                                                      000039000039000039
03201111000152RPS                                               REPUBLICANOS                                                                                                                                          000152000152000152
03201111000153PP-AMF                                            SENADORES MAJOREROS                                                                                                                                   000127000128000128
03201111000154SSP-SxTF-EQUO                                     SI SE PUEDE, SOCIALISTAS POR TENERIFE, EQUO                                                                                                           000039000039000039
03201111000157SXT                                               SOCIALISTAS POR TERUEL                                                                                                                                000157000157000157
