03201904000002AHI-CCa                                           AGRUPACION HERREÑA INDEPENDIENTE-COALICIÓN CANARIA                                                                                                    000015000015000015
03201904000003AHORA CANAR                                       AHORA CANARIAS: Alternativa Nacionalista Canaria A                                                                                                    000003000003000003
03201904000004ANDECHA AST                                       ANDECHA ASTUR                                                                                                                                         000004000004000004
03201904000005ARA                                               ARA EIVISSA I FORMENTERA                                                                                                                              000005000005000005
03201904000007ASG                                               AGRUPACION SOCIALISTA GOMERA                                                                                                                          000007000007000007
03201904000009AVANT ADELA                                       AVANT ADELANTE LOS VERDES                                                                                                                             000009000009000009
03201904000010AVANT-LOS V                                       LOS VERDES ECOPACIFISTAS ADELANTE                                                                                                                     000010000009000009
03201904000011AxSI                                              ANDALUCÍA POR SÍ                                                                                                                                      000011000011000011
03201904000012BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000012000012000012
03201904000013C 21                                              CONVERXENCIA 21                                                                                                                                       000013000013000013
03201904000014CAMBIO-ALDA                                       CAMBIO ALDAKETA                                                                                                                                       000014000014000014
03201904000015CCa-PNC                                           COALICION CANARIA-PARTIDO NACIONALISTA CANARIO                                                                                                        000015000015000015
03201904000016centrados                                         CENTRADOS                                                                                                                                             000016000016000016
03201904000017C.Ex-C.R.Ex                                       EXTREMEÑOS PREX CREX                                                                                                                                  000017000017000017
03201904000018CILU-LINARE                                       CIUDADANOS INDEPENDIENTES DE LINARES UNIDOS                                                                                                           000018000018000018
03201904000019CNV                                               CONVERGENTS                                                                                                                                           000019000019000019
03201904000020COMPROMÍS 2                                       COMPROMÍS: BLOC-INICIATIVA-VERDSEQUO                                                                                                                  000020000020000020
03201904000021CpM                                               COALICION POR MELILLA                                                                                                                                 000021000021000021
03201904000022Cs                                                CIUDADANOS-PARTIDO DE LA CIUDADANÍA                                                                                                                   000022000022000022
03201904000023Cs                                                CIUTADANS-PARTIDO DE LA CIUDADANÍA                                                                                                                    000023000022000022
03201904000024CxG                                               COMPROMISO POR GALICIA                                                                                                                                000024000024000024
03201904000025DP                                                DEFENSA DE LO PÚBLICO                                                                                                                                 000025000025000025
03201904000026DPL                                               DEMOCRACIA PLURAL                                                                                                                                     000026000026000026
03201904000027EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO                                                                                                    000027000027000027
03201904000028EB                                                ESCAÑOS EN BLANCO                                                                                                                                     000028000028000028
03201904000029EB                                                ESCAÑOS EN BLANCO-AULKI ZURIAK                                                                                                                        000029000029000028
03201904000030EB                                                ESCANOS EN BRANCO                                                                                                                                     000030000030000028
03201904000032ECP-GUANYEM                                       EN COMÚ PODEM - GUANYEM EL CANVI                                                                                                                      000032000032000032
03201904000033EH Bildu                                          EUSKAL HERRIA BILDU                                                                                                                                   000033000033000033
03201904000034ELAK/PCTE                                         EUSKADIKO LANGILEEN ALDERDI KOMUNISTA/PARTIDO COMU                                                                                                    000034000067000066
03201904000035EL PI                                             EL PI - PROPOSTA PER LES ILLES BALEARS                                                                                                                000035000035000035
03201904000036EN MAREA                                          EN MAREA                                                                                                                                              000036000036000036
03201904000037ERC-SOBIRAN                                       ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES                                                                                                        000037000037000037
03201904000038ERPV                                              ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ                                                                                                                000038000038000038
03201904000039F8                                                FEMINISM8                                                                                                                                             000039000039000039
03201904000040FE de las J                                       FALANGE ESPAÑOLA DE LAS JONS                                                                                                                          000040000040000040
03201904000041FIA                                               FEDERACION DE LOS INDEPENDIENTES DE ARAGON                                                                                                            000041000041000041
03201904000042FRONT REPUB                                       POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALU                                                                                                    000042000042000042
03201904000045IZQP                                              IZQUIERDA EN POSITIVO                                                                                                                                 000045000045000045
03201904000047"JF"                                              PARTIDO DE JUBILADOS POR EL FUTURO. DIGNIDAD Y DEM                                                                                                    000047000047000047
03201904000049JxCAT-JUNTS                                       JUNTS PER CATALUNYA-JUNTS                                                                                                                             000049000049000049
03201904000051MxMe                                              MÉS PER MENORCA                                                                                                                                       000051000051000051
03201904000052NA+                                               NAVARRA SUMA                                                                                                                                          000052000052000052
03201904000053NCa                                               NUEVA CANARIAS                                                                                                                                        000053000053000053
03201904000054PACMA                                             PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL                                                                                                          000054000054000054
03201904000055PACMA                                             PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL                                                                                                      000055000054000054
03201904000058PCPA                                              PARTIDO COMUNISTA DEL PUEBLO ANDALUZ                                                                                                                  000058000058000058
03201904000059PCPC                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000060000060000063
03201904000060PCPC                                              PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                  000060000060000063
03201904000061PCPC                                              PARTIT COMUNISTA DEL POBLE DE CATALUNYA                                                                                                               000061000061000061
03201904000062PCPC                                              PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                  000060000060000063
03201904000063PCPE                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000063000063000063
03201904000064PCPE                                              PARTIT COMUNISTA DELS POBLES D'ESPANYA                                                                                                                000064000063000063
03201904000065PCTC                                              PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA                                                                                                       000065000065000066
03201904000066PCTE                                              PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA                                                                                                       000066000066000066
03201904000067PCTE/ELAK                                         PARTIDO COMUNISTA DE LOS TRABAJADORES DE EUSKADI/E                                                                                                    000067000067000066
03201904000068PCTG                                              PARTIDO COMUNISTA DOS TRABALLADORES DE GALIZA                                                                                                         000068000068000066
03201904000072PH                                                PARTIDO HUMANISTA                                                                                                                                     000072000072000072
03201904000073P-LIB                                             PARTIDO LIBERTARIO                                                                                                                                    000073000073000073
03201904000074PODEMOS-EUI                                       UNIDAS PODEMOS-UNIDES PODEM                                                                                                                           000074000074000077
03201904000075PODEMOS-EU-                                       EN COMÚN-UNIDAS PODEMOS                                                                                                                               000075000075000075
03201904000076PODEMOS-EUP                                       UNIDAS PODEMOS                                                                                                                                        000076000076000077
03201904000077PODEMOS-IU-                                       UNIDAS PODEMOS                                                                                                                                        000077000077000077
03201904000078PODEMOS-IU-                                       UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN                                                                                                                    000078000077000077
03201904000080PODEMOS-IU-                                       ELKARREKIN PODEMOS-UNIDAS PODEMOS                                                                                                                     000080000080000077
03201904000081PODEMOS-IU                                        UNIDAS PODEMOS                                                                                                                                        000081000081000077
03201904000082PODEMOS-IX-                                       UNIDAS PODEMOS-XUNIES PODEMOS                                                                                                                         000082000082000077
03201904000083PP                                                PARTIDO POPULAR                                                                                                                                       000083000083000083
03201904000084PP                                                PARTIDO POPULAR/PARTIT POPULAR                                                                                                                        000084000083000083
03201904000085PP                                                PARTIT POPULAR-PARTIDO POPULAR                                                                                                                        000085000083000083
03201904000086PP-FORO                                           PARTIDO POPULAR - FORO                                                                                                                                000086000086000083
03201904000087PPMAJO-UP M                                       GANA FUERTEVENTURA                                                                                                                                    000087000087000087
03201904000088PPSO                                              PLATAFORMA DEL PUEBLO SORIANO                                                                                                                         000088000088000088
03201904000089PR+                                               PARTIDO RIOJANO                                                                                                                                       000089000089000089
