032019111049023000009001TMaría Esperanza          Criado                   Agudo                    F000000000000000000N
032019111049007000018001TFrancisco José           Ramos                    Martínez                 M000000000000000000N
032019111049008000018002TLourdes                  García                   Garzón                   F000000000000000000N
032019111049009000018003TAgustín                  Canovas                  Sáez                     M000000000000000000N
032019111049019000023001TMaría del Pilar          del Moral                Arroyo                   F000000000000000000N
032019111049020000023002TMiguel Ángel             Navarro                  Belmonte                 M000000000000000000N
032019111049021000023003TMaría Isabel             Félix                    Hidalgo                  F000000000000000000N
032019111049014000055001TMaría del Carmen         Maldonado                Ureña                    F000000000000000000N
032019111049015000055002TEduardo José             Milla                    Juan                     M000000000000000000N
032019111049016000055003TSusana                   Conejero                 Calvo-Flores             F000000000000000000N
032019111049018000058001TJuan José                Sánchez                  López                    M000000000000000000N
032019111049011000081001TBegoña                   Rojas                    Gutiérrez                F000000000000000000N
032019111049012000081002TJosé Enrique             Martínez                 García                   M000000000000000000N
032019111049013000081003TAna Isabel               Expósito                 Fernández                F000000000000000000N
032019111049004000083001TRafael Antonio           Hernando                 Fraile                   M000000000000000000S
032019111049005000083002TLuis Rogelio             Rodríguez Comendador     Pérez                    M000000000000000000S
032019111049006000083003TMaría Rosario            Soto                     Rico                     F000000000000000000N
032019111049001000094001TFernando                 Martínez                 López                    M000000000000000000S
032019111049002000094002TInes María               Plaza                    García                   F000000000000000000S
032019111049003000094003TJuan Carlos              Pérez                    Navas                    M000000000000000000N
032019111049022000098001TMaría Amparo             Huertas                  Mogío                    F000000000000000000N
032019111049017000101001TIrene                    Carrión                  Herrera                  F000000000000000000N
032019111049010000116001TJuan José                Bonilla                  López                    M000000000000000000N
032019111119017000009001TMaría Fátima             Utrera                   González                 F000000000000000000N
032019111119004000018001TCarlos                   Pérez                    González                 M000000000000000000N
032019111119005000018002TMaría Dolores            Rodríguez                Cano                     F000000000000000000N
032019111119006000018003TCarlos                   de Andrés                Ramírez                  M000000000000000000N
032019111119020000044001TMaría del Dulce Nombre   Merello                  Arvilla                  F000000000000000000N
032019111119021000044002TPedro José               Collado                  Gómez                    M000000000000000000N
032019111119014000055001TMaría Isabel             de Montalbán             Podadera                 F000000000000000000N
032019111119015000055002TMarcelino                Laínez                   de los Reyes             M000000000000000000N
032019111119016000055003TMaría del Pilar          Gato                     Silió                    F000000000000000000N
032019111119019000058001TJuan                     Marchena                 Moreno                   M000000000000000000N
032019111119010000081001TAntón Gilen              Haidl                    Dietlmeier               M000000000000000000N
032019111119011000081002TRafael Jesús             Lara                     Batlleria                M000000000000000000N
032019111119012000081003TRocío                    Ramírez                  Montañez                 F000000000000000000N
032019111119007000083001TJosé Ignacio             Landaluce                Calleja                  M000000000000000000S
032019111119008000083002TMaría José               de Alba                  Castiñeira               F000000000000000000N
032019111119009000083003TDomingo Jesús            González                 Gil                      M000000000000000000N
032019111119001000094001TMaría Jesús              Castro                   Mateos                   F000000000000000000S
032019111119002000094002TAlfonso Carlos           Moscoso                  González                 M000000000000000000S
032019111119003000094003TCándida                  Verdier                  Mayoral                  F000000000000000000S
032019111119022000098001TGuillermo                Sánchez de Cos           Suárez                   M000000000000000000N
032019111119018000101001THassan                   Ben Sid Amar             Mohamed                  M000000000000000000N
032019111119013000116001TManuel                   González                 Bazán                    M000000000000000000N
032019111149023000009001TJosé                     Martínez                 Alvarez                  M000000000000000000N
032019111149007000018001TIsidoro                  García-Escribano         Acedo                    M000000000000000000N
032019111149008000018002TMaría Josefa             de la Torre              Barbero                  F000000000000000000N
032019111149009000018003TFernando                 Molina                   Espejo                   M000000000000000000N
032019111149018000023001TRafael                   de Troya                 Bononato                 M000000000000000000N
032019111149019000023002TMaría Lourdes            Bellido                  Garrido                  F000000000000000000N
032019111149020000023003TManuel                   Elías                    Roldán                   M000000000000000000N
032019111149014000055001TAna María                Cuevas                   Ángeles                  F000000000000000000N
032019111149015000055002TManuel                   Urbano                   Navas                    M000000000000000000N
